,발행기관,표준코드,채권종류,종목명,상장일,발행일,상환일,표면이자율,발행금액 (백만),상장잔액 (백만),채권유형
,한국주택금융공사,KR354413GBC6,사회적채권,한국주택금융공사MBS2021-26(1-4)(사),"2021/12/20","2021/12/14","2041/12/14","2.53400","80,000","80,000",특수채
,한국주택금융공사,KR354413GC21,사회적채권,한국주택금융공사MBS2022-3(1-3)(사),"2022/02/28","2022/02/22","2025/02/22","2.58000","100,000","100,000",특수채
,한국주택금융공사,KR354413GC39,사회적채권,한국주택금융공사MBS2022-5(1-7)(사),"2022/04/04","2022/03/29","2037/03/29","3.59600","100,000","100,000",특수채
,한국주택금융공사,KR354413GC47,사회적채권,한국주택금융공사MBS2022-7(1-3)(사),"2022/04/25","2022/04/19","2025/04/19","3.32800","40,000","40,000",특수채
,한국주택금융공사,KR354413GC54,사회적채권,한국주택금융공사MBS2022-10(1-3)(사),"2022/05/30","2022/05/24","2025/05/24","3.37400","100,000","100,000",특수채
,한국주택금융공사,KR354413GC62,사회적채권,한국주택금융공사MBS2022-12(1-2)(사),"2022/06/27","2022/06/21","2024/06/21","4.09300","60,000","60,000",특수채
,한국주택금융공사,KR354413GC70,사회적채권,한국주택금융공사MBS2022-15(1-5)(사),"2022/07/28","2022/07/22","2029/07/22","4.16300","130,000","130,000",특수채
,한국주택금융공사,KR354413GC88,사회적채권,한국주택금융공사MBS2022-17(1-2)(사),"2022/08/29","2022/08/23","2024/08/23","3.58700","50,000","50,000",특수채
,한국주택금융공사,KR354414G945,사회적채권,한국주택금융공사MBS2019-9(1-6)(사),"2019/04/29","2019/04/23","2029/04/23","2.05400","120,000","120,000",특수채
,한국주택금융공사,KR354414G986,사회적채권,한국주택금융공사MBS2019-16(1-7)(사),"2019/08/29","2019/08/23","2034/08/23","1.38000","60,000","60,000",특수채
,한국주택금융공사,KR354414G9A8,사회적채권,한국주택금융공사MBS2019-20(1-6)(사),"2019/10/31","2019/10/25","2029/10/25","1.99200","140,000","140,000",특수채
,한국주택금융공사,KR354414G9B6,사회적채권,한국주택금융공사MBS2019-23(1-5)(사),"2019/11/25","2019/11/19","2026/11/19","1.97000","200,000","200,000",특수채
,한국주택금융공사,KR354414G9C4,사회적채권,한국주택금융공사MBS2019-26(1-6)(사),"2019/12/27","2019/12/20","2029/12/20","1.81400","190,000","190,000",특수채
,한국주택금융공사,KR354414GA14,사회적채권,한국주택금융공사MBS2020-2(1-6)(사),"2020/01/23","2020/01/17","2030/01/17","1.96400","270,000","270,000",특수채
,한국주택금융공사,KR354414GA22,사회적채권,한국주택금융공사MBS2020-5(1-6)(사),"2020/02/20","2020/02/14","2030/02/14","1.84500","350,000","350,000",특수채
,한국주택금융공사,KR354414GA30,사회적채권,한국주택금융공사MBS2020-8(1-6)(사),"2020/03/19","2020/03/13","2030/03/13","1.54800","150,000","150,000",특수채
,한국주택금융공사,KR354414GA63,사회적채권,한국주택금융공사MBS2020-19(1-5)(사),"2020/06/22","2020/06/16","2027/06/16","1.71600","230,000","230,000",특수채
,한국주택금융공사,KR354414GA71,사회적채권,한국주택금융공사MBS2020-24(1-6)(사),"2020/07/27","2020/07/21","2030/07/21","1.77700","130,000","130,000",특수채
,한국주택금융공사,KR354414GA89,사회적채권,한국주택금융공사MBS2020-28(1-6)(사),"2020/08/27","2020/08/21","2030/08/21","1.64800","180,000","180,000",특수채
,한국주택금융공사,KR354414GA97,사회적채권,한국주택금융공사MBS2020-31(1-2)(사),"2020/09/25","2020/09/22","2025/09/22","1.48300","340,000","340,000",특수채
,한국주택금융공사,KR354414GAA0,사회적채권,한국주택금융공사MBS2020-34(1-1)(사),"2020/11/02","2020/10/27","2022/10/27","1.11600","218,100","98,145",특수채
,한국주택금융공사,KR354414GAB8,사회적채권,한국주택금융공사MBS2020-37(1-1)(사),"2020/11/30","2020/11/24","2022/11/24","1.08100","197,400","78,960",특수채
,한국주택금융공사,KR354414GAC6,사회적채권,한국주택금융공사MBS2020-39(1-5)(사),"2020/12/17","2020/12/11","2027/12/11","1.70300","190,000","190,000",특수채
,한국주택금융공사,KR354414GB13,사회적채권,한국주택금융공사MBS2021-2(1-5)(사),"2021/01/28","2021/01/22","2028/01/22","1.66400","230,000","230,000",특수채
