,발행기관,표준코드,채권종류,종목명,상장일,발행일,상환일,표면이자율,발행금액 (백만),상장잔액 (백만),채권유형
,신한은행,KR6000011B58,녹색채권,신한은행25-05-이10갑후(녹),"2021/05/07","2021/05/06","2031/05/06","2.58000","400,000","400,000",회사채
,신한은행,KR6000012BB1,녹색채권,신한은행25-11-이10갑후(녹),"2021/11/10","2021/11/09","2031/11/09","2.84000","260,000","260,000",회사채
,신한은행,KR6000012C80,녹색채권,신한은행26-08-이-1-A(녹),"2022/08/24","2022/08/23","2023/08/23","3.43000","100,000","100,000",회사채
,우리은행,KR6000031924,지속가능채권,우리은행23-02-이표(지)05갑18,"2019/02/19","2019/02/18","2024/02/18","2.04000","200,000","200,000",회사채
,우리은행,KR6000031A89,지속가능채권,우리은행24-08-이표03갑06(지),"2020/08/07","2020/08/06","2023/08/06","1.01000","300,000","300,000",회사채
,우리은행,KR6000031C79,지속가능채권,우리은행조건부자본증권(상)2607이(후)10갑12(지),"2022/07/13","2022/07/12","2032/07/12","4.46000","400,000","400,000",회사채
,우리은행,KR6000033B52,지속가능채권,우리은행조건부자본증권(상)2505이(후)10갑13(지),"2021/05/14","2021/05/13","2031/05/13","2.64000","300,000","300,000",회사채
,기아,KR6000271B38,녹색채권,기아284-1(녹),"2021/03/03","2021/03/03","2024/03/03","1.30300","100,000","100,000",회사채
,기아,KR6000272B37,녹색채권,기아284-2(녹),"2021/03/03","2021/03/03","2026/03/03","1.71400","150,000","150,000",회사채
,기아,KR6000273B36,녹색채권,기아284-3(녹),"2021/03/03","2021/03/03","2028/03/03","1.95500","50,000","50,000",회사채
,SK하이닉스,KR6000662B43,사회적채권,에스케이하이닉스223-2(사),"2021/04/13","2021/04/13","2026/04/13","1.89000","360,000","360,000",회사채
,SK하이닉스,KR6000663B42,사회적채권,에스케이하이닉스223-3(사),"2021/04/13","2021/04/13","2028/04/13","2.10600","80,000","80,000",회사채
,롯데건설,KR6000822B99,지속가능채권,롯데건설136-2(지),"2021/09/14","2021/09/14","2024/09/13","2.21400","40,000","40,000",회사채
,한화,KR6000881B55,녹색채권,한화231-1(녹),"2021/05/07","2021/05/07","2024/05/07","1.68200","85,000","85,000",회사채
,한화,KR6000881C21,녹색채권,한화233-1(녹),"2022/02/08","2022/02/08","2025/02/07","3.10000","100,000","100,000",회사채
,한화,KR6000882B54,녹색채권,한화231-2(녹),"2021/05/07","2021/05/07","2026/05/07","2.24600","65,000","65,000",회사채
,한화,KR6000882C20,녹색채권,한화233-2(녹),"2022/02/08","2022/02/08","2027/02/05","3.41300","50,000","50,000",회사채
,DL건설,KR6001882B94,지속가능채권,DL건설1-2(지),"2021/09/09","2021/09/09","2024/09/09","2.80700","39,000","39,000",회사채
,한진,KR6002321B75,지속가능채권,한진94-1(지),"2021/07/22","2021/07/22","2023/07/21","2.72600","20,000","20,000",회사채
,케이씨씨,KR6002382C47,지속가능채권,케이씨씨74-2(지),"2022/04/08","2022/04/08","2027/04/08","3.85200","30,000","30,000",회사채
,KB손해보험,KR6002551C67,지속가능채권,케이비손해보험2(후)(지),"2022/06/13","2022/06/13","2032/06/13","4.90000","286,000","286,000",회사채
,에스케이에코플랜트,KR6003341B20,녹색채권,에스케이에코플랜트166(녹),"2021/02/26","2021/02/26","2024/02/26","2.15900","300,000","300,000",회사채
,에스케이에코플랜트,KR6003342B78,지속가능채권,SK에코플랜트168-2(지),"2021/07/29","2021/07/29","2024/07/29","2.61000","200,000","200,000",회사채
,에스케이에코플랜트,KR6003342C36,녹색채권,SK에코플랜트170-2(녹),"2022/03/02","2022/03/02","2025/02/28","3.92400","100,000","100,000",회사채
,쌍용씨앤이,KR6003411B90,녹색채권,쌍용씨앤이316-1(녹),"2021/09/16","2021/09/16","2024/09/13","2.23800","30,000","30,000",회사채
,KB증권,KR6003451B34,녹색채권,KB증권39-1(녹),"2021/03/04","2021/03/04","2024/03/04","1.31100","110,000","110,000",회사채
,대한항공,KR6003491B77,녹색채권,대한항공95-1(녹),"2021/07/07","2021/07/07","2023/01/06","2.39200","70,000","70,000",회사채
,대한항공,KR6003492B76,녹색채권,대한항공95-2(녹),"2021/07/07","2021/07/07","2023/07/07","3.13600","136,000","136,000",회사채
,대한항공,KR6003493B75,녹색채권,대한항공95-3(녹),"2021/07/07","2021/07/07","2024/07/05","3.67200","144,000","144,000",회사채
,포스코케미칼,KR6003671C45,녹색채권,포스코케미칼18-1(녹),"2022/04/14","2022/04/14","2025/04/14","3.58700","200,000","200,000",회사채
,포스코케미칼,KR6003672C44,녹색채권,포스코케미칼18-2(녹),"2022/04/14","2022/04/14","2027/04/14","3.72200","100,000","100,000",회사채
,코리안리,KR6003691C58,지속가능채권,코리안리재보험신종자본증권 3(지),"2022/05/30","2022/05/30","2052/05/30","4.90000","230,000","230,000",회사채
,현대제철,KR6004021B17,녹색채권,현대제철132-1(녹),"2021/01/25","2021/01/25","2024/01/25","1.22100","130,000","130,000",회사채
,현대제철,KR6004022B16,녹색채권,현대제철132-2(녹),"2021/01/25","2021/01/25","2026/01/25","1.59600","230,000","230,000",회사채
,현대제철,KR6004023B15,녹색채권,현대제철132-3(녹),"2021/01/25","2021/01/25","2028/01/25","1.89600","140,000","140,000",회사채
,현대오일뱅크,KR6004051B10,녹색채권,현대오일뱅크125-1(녹),"2021/01/28","2021/01/28","2024/01/28","1.21200","90,000","90,000",회사채
,현대오일뱅크,KR6004052B19,녹색채권,현대오일뱅크125-2(녹),"2021/01/28","2021/01/28","2026/01/28","1.61500","150,000","150,000",회사채
,현대오일뱅크,KR6004053B18,녹색채권,현대오일뱅크125-3(녹),"2021/01/28","2021/01/28","2028/01/28","1.91300","90,000","90,000",회사채
,현대오일뱅크,KR6004054B17,녹색채권,현대오일뱅크125-4(녹),"2021/01/28","2021/01/28","2031/01/28","2.38100","70,000","70,000",회사채
,신세계,KR6004172BA1,녹색채권,신세계136-2(녹),"2021/10/07","2021/10/07","2026/10/07","2.43900","60,000","60,000",회사채
,하나은행,KR6004941B63,지속가능채권,하나은행 조건부자본증권(상)4406이(후)10갑14(지),"2021/06/15","2021/06/14","2031/06/14","2.58000","435,000","435,000",회사채
,하나은행,KR6004944C69,지속가능채권,하나은행 조건부자본증권(상)4506이(후)10갑22(지),"2022/06/23","2022/06/22","2032/06/22","4.76000","296,000","296,000",회사채
,롯데지주,KR6004993A95,지속가능채권,롯데지주9-3(지),"2020/09/02","2020/09/02","2030/09/02","2.58900","50,000","50,000",회사채
,롯데지주,KR6004993B11,녹색채권,롯데지주10-3(녹),"2021/01/25","2021/01/25","2031/01/21","2.32500","60,000","60,000",회사채
,GS칼텍스,KR60050819A6,녹색채권,GS칼텍스139-1(녹),"2019/10/29","2019/10/29","2022/10/29","1.76900","60,000","60,000",회사채
,GS칼텍스,KR60050829A5,녹색채권,GS칼텍스139-2(녹),"2019/10/29","2019/10/29","2029/10/29","1.99000","70,000","70,000",회사채
,SGC에너지,KR6005091B68,녹색채권,에스지씨에너지8-1(녹),"2021/06/02","2021/06/02","2023/06/02","2.18200","29,000","29,000",회사채
,대구은행,KR6005271B37,지속가능채권,대구은행42-03이30A-30(지),"2021/03/31","2021/03/30","2023/09/30","1.22000","100,000","100,000",회사채
,대구은행,KR6005271B60,지속가능채권,대구은행 조건부자본증권(상)(후)4206이120A02(지),"2021/06/03","2021/06/02","2031/06/02","2.98000","100,000","100,000",회사채
,대구은행,KR6005271B86,지속가능채권,대구은행 조건부자본증권(상)(후)4208이120A13(지),"2021/08/17","2021/08/13","2031/08/13","2.73000","100,000","100,000",회사채
,대구은행,KR6005271C36,지속가능채권,대구은행 조건부자본증권(상)(후)4303이120A10(지),"2022/03/11","2022/03/10","2032/03/10","3.80000","100,000","100,000",회사채
,부산은행,KR6005281AB9,지속가능채권,부산은행2020-11이2.0A-30(지),"2020/12/01","2020/11/30","2022/11/30","1.09000","100,000","100,000",회사채
,부산은행,KR6005281BA9,사회적채권,부산은행2021-10이(변)2A-(사),"2021/11/01","2021/10/29","2023/10/29","3.06000","100,000","100,000",회사채
,부산은행,KR6005281C42,사회적채권,부산은행 조건부자본증권(상)2204이(신)A07(사),"2022/04/08","2022/04/07","9999/12/31","4.30000","150,000","150,000",회사채
,현대자동차,KR6005381B26,녹색채권,현대자동차318-1(녹),"2021/02/09","2021/02/09","2024/02/09","1.21400","150,000","150,000",회사채
,현대자동차,KR6005382B25,녹색채권,현대자동차318-2(녹),"2021/02/09","2021/02/09","2026/02/09","1.48300","180,000","180,000",회사채
,현대자동차,KR6005383B24,녹색채권,현대자동차318-3(녹),"2021/02/09","2021/02/09","2028/02/09","1.72600","70,000","70,000",회사채
,NH투자증권,KR6005941B29,지속가능채권,엔에이치투자증권63(지),"2021/02/16","2021/02/16","2026/02/13","1.54800","110,000","110,000",회사채
,제주은행,KR6006221C92,사회적채권,제주은행 조건부자본증권(상)5(신종-영구-5콜)(사),"2022/09/19","2022/09/19","9999/12/31","5.95000","50,000","50,000",회사채
,전북은행,KR6006351B38,지속가능채권,전북은행25-03이02갑-03(지),"2021/03/04","2021/03/03","2023/03/03","1.07800","50,000","50,000",회사채
,전북은행,KR6006351BB7,지속가능채권,전북은행2511이1.5갑1(변)(지),"2021/11/02","2021/11/01","2023/05/01","1.45000","100,000","100,000",회사채
,전북은행,KR6006351C29,지속가능채권,전북은행26-02이1갑4(변)(지),"2022/02/07","2022/02/04","2023/02/04","1.73000","100,000","100,000",회사채
,전북은행,KR6006351C37,지속가능채권,전북은행26-03이1갑17변(지),"2022/03/18","2022/03/17","2023/03/17","1.71000","100,000","100,000",회사채
,전북은행,KR6006352BB5,지속가능채권,전북은행2511이1.5갑29변(지),"2021/11/30","2021/11/29","2023/05/29","1.68000","50,000","50,000",회사채
,전북은행,KR6006352C36,지속가능채권,전북은행2603이1.25갑18변(지),"2022/03/21","2022/03/18","2023/06/18","1.95000","100,000","100,000",회사채
,미래에셋증권,KR6006802B33,사회적채권,미래에셋증권56-2(사),"2021/03/09","2021/03/09","2026/03/09","1.90300","100,000","100,000",회사채
,GS리테일,KR6007072C58,사회적채권,지에스리테일34-2(사),"2022/05/04","2022/05/04","2027/05/04","3.89700","100,000","100,000",회사채
,산은캐피탈,KR6008276BB4,녹색채권,산은캐피탈680-1(녹),"2021/12/01","2021/11/30","2024/01/30","2.42300","50,000","50,000",회사채
,산은캐피탈,KR6008277BB2,녹색채권,산은캐피탈680-2(녹),"2021/12/01","2021/11/30","2024/11/29","2.48800","30,000","30,000",회사채
,신한금융투자,KR6008673B43,지속가능채권,신한금융투자2104-3(지),"2021/04/07","2021/04/06","2024/04/05","1.50000","100,000","100,000",회사채
,한양,KR6008691B66,녹색채권,한양69(녹),"2021/06/18","2021/06/18","2023/06/16","3.10200","60,000","60,000",회사채
,한화솔루션,KR6009831B65,녹색채권,한화솔루션275-1(녹),"2021/06/17","2021/06/17","2024/06/17","1.70400","70,000","70,000",회사채
,한화솔루션,KR6009831C15,녹색채권,한화솔루션279-1(녹),"2022/01/24","2022/01/24","2025/01/24","2.76500","275,000","275,000",회사채
,한화솔루션,KR6009832B64,녹색채권,한화솔루션275-2(녹),"2021/06/17","2021/06/17","2026/06/17","2.05500","30,000","30,000",회사채
,우리종금,KR6010051BA9,녹색채권,우리종합금융1-1(녹),"2021/10/26","2021/10/26","2023/04/26","2.52100","20,000","20,000",회사채
,S-Oil,KR6010953C23,녹색채권,S-Oil58-3(녹),"2022/02/17","2022/02/17","2032/02/17","3.17900","60,000","60,000",회사채
,롯데케미칼,KR6011172B43,지속가능채권,롯데케미칼57-2(지),"2021/04/28","2021/04/28","2026/04/28","1.91000","200,000","200,000",회사채
,현대모비스,KR6012335B78,녹색채권,현대모비스144-1(녹),"2021/07/09","2021/07/09","2024/07/09","1.58700","150,000","150,000",회사채
,현대모비스,KR6012336B77,녹색채권,현대모비스144-2(녹),"2021/07/09","2021/07/09","2026/07/09","1.95700","140,000","140,000",회사채
,현대모비스,KR6012337B76,녹색채권,현대모비스144-3(녹),"2021/07/09","2021/07/09","2028/07/09","2.08100","60,000","60,000",회사채
,한화에어로스페이스,KR6012451B43,녹색채권,한화에어로스페이스125-1(녹),"2021/04/28","2021/04/28","2024/04/28","1.61500","260,000","260,000",회사채
,동원시스템즈,KR6014821BA1,녹색채권,동원시스템즈27-2(녹),"2021/10/28","2021/10/28","2026/10/28","3.05800","30,000","30,000",회사채
,한국전력공사,KR350101G9A4,지속가능채권,한국전력공사채권997(지),"2019/11/07","2019/10/24","2022/10/24","1.48200","100,000","100,000",특수채
,한국전력공사,KR350101GAB5,지속가능채권,한국전력공사채권1037(지),"2020/11/16","2020/11/04","2022/11/04","1.01900","30,000","30,000",특수채
,한국전력공사,KR350101GBB3,지속가능채권,한국전력공사채권1083(지),"2021/11/11","2021/11/04","2022/11/04","1.62700","250,000","250,000",특수채
,한국전력공사,KR350102G9A3,지속가능채권,한국전력공사채권998(지),"2019/11/07","2019/10/24","2024/10/24","1.64600","40,000","40,000",특수채
,한국전력공사,KR350102GAB3,지속가능채권,한국전력공사채권1038(지),"2020/11/16","2020/11/04","2023/11/04","1.13700","100,000","100,000",특수채
,한국전력공사,KR350102GBB1,지속가능채권,한국전력공사채권1084(지),"2021/11/11","2021/11/04","2023/11/04","2.13300","50,000","50,000",특수채
,한국전력공사,KR350103G9A2,지속가능채권,한국전력공사채권999(지),"2019/11/07","2019/10/24","2049/10/24","1.70900","60,000","60,000",특수채
,한국전력공사,KR350103GAB1,지속가능채권,한국전력공사채권1039(지),"2020/11/16","2020/11/04","2025/11/04","1.43200","70,000","70,000",특수채
,한국전력공사,KR350103GBB9,지속가능채권,한국전력공사채권1085(지),"2021/11/11","2021/11/04","2026/11/04","2.52800","100,000","100,000",특수채
,삼성증권,KR6016362B26,녹색채권,삼성증권15-2(녹),"2021/02/25","2021/02/25","2026/02/25","1.58500","100,000","100,000",회사채
,SK텔레콤,KR6017672C85,지속가능채권,SK텔레콤83-2(지),"2022/08/10","2022/08/10","2027/08/10","3.99800","95,000","95,000",회사채
,아이비케이캐피탈,KR6019451B48,지속가능채권,아이비케이캐피탈232-1(지),"2021/04/15","2021/04/14","2023/06/14","1.19700","50,000","50,000",회사채
,아이비케이캐피탈,KR6019452B47,지속가능채권,아이비케이캐피탈232-2(지),"2021/04/15","2021/04/14","2024/03/14","1.41900","100,000","100,000",회사채
,아이비케이캐피탈,KR6019453B46,지속가능채권,아이비케이캐피탈232-3(지),"2021/04/15","2021/04/14","2026/04/14","1.80400","30,000","30,000",회사채
,아이비케이캐피탈,KR6019454B45,지속가능채권,아이비케이캐피탈232-4(지),"2021/04/15","2021/04/14","2028/04/14","2.21600","20,000","20,000",회사채
,하나캐피탈,KR6019801AB8,지속가능채권,하나캐피탈317-1(지),"2020/11/11","2020/11/10","2022/11/10","1.33300","30,000","30,000",회사채
,하나캐피탈,KR6019801B52,지속가능채권,하나캐피탈328-1(지),"2021/05/25","2021/05/24","2022/11/24","1.03400","60,000","60,000",회사채
,하나캐피탈,KR6019801C51,지속가능채권,하나캐피탈352-1(지),"2022/05/13","2022/05/12","2023/05/12","2.74800","60,000","60,000",회사채
,하나캐피탈,KR6019802AB6,지속가능채권,하나캐피탈317-2(지),"2020/11/11","2020/11/10","2023/05/10","1.40900","50,000","50,000",회사채
,하나캐피탈,KR6019802B51,지속가능채권,하나캐피탈328-2(지),"2021/05/25","2021/05/24","2023/05/24","1.21800","50,000","50,000",회사채
,하나캐피탈,KR6019802C50,지속가능채권,하나캐피탈352-2(지),"2022/05/13","2022/05/12","2023/11/10","3.34500","10,000","10,000",회사채
,하나캐피탈,KR6019803AB4,지속가능채권,하나캐피탈317-3(지),"2020/11/11","2020/11/10","2023/11/10","1.54600","80,000","80,000",회사채
,하나캐피탈,KR6019803B50,지속가능채권,하나캐피탈328-3(지),"2021/05/25","2021/05/24","2023/08/24","1.26800","60,000","60,000",회사채
,하나캐피탈,KR6019803C59,지속가능채권,하나캐피탈352-3(지),"2022/05/13","2022/05/12","2024/05/10","3.69100","50,000","50,000",회사채
,하나캐피탈,KR6019804AB2,지속가능채권,하나캐피탈317-4(지),"2020/11/11","2020/11/10","2024/05/10","1.60600","70,000","70,000",회사채
,하나캐피탈,KR6019804B59,지속가능채권,하나캐피탈328-4(지),"2021/05/25","2021/05/24","2023/11/24","1.31800","60,000","60,000",회사채
,하나캐피탈,KR6019804C58,지속가능채권,하나캐피탈352-4(지),"2022/05/13","2022/05/12","2024/11/12","3.83500","30,000","30,000",회사채
,하나캐피탈,KR6019805AB9,지속가능채권,하나캐피탈317-5(지),"2020/11/11","2020/11/10","2024/11/08","1.66600","40,000","40,000",회사채
,하나캐피탈,KR6019805B58,지속가능채권,하나캐피탈328-5(지),"2021/05/25","2021/05/24","2024/05/24","1.45100","50,000","50,000",회사채
,하나캐피탈,KR6019805C57,지속가능채권,하나캐피탈352-5(지),"2022/05/13","2022/05/12","2025/05/12","3.86600","10,000","10,000",회사채
,하나캐피탈,KR6019806AB7,지속가능채권,하나캐피탈317-6(지),"2020/11/11","2020/11/10","2025/05/09","1.72200","30,000","30,000",회사채
,하나캐피탈,KR6019806B57,지속가능채권,하나캐피탈328-6(지),"2021/05/25","2021/05/24","2024/11/22","1.57400","10,000","10,000",회사채
,하나캐피탈,KR6019807B56,지속가능채권,하나캐피탈328-7(지),"2021/05/25","2021/05/24","2025/05/23","1.68700","10,000","10,000",회사채
,KB캐피탈,KR6021961AB6,지속가능채권,케이비캐피탈462-1(지),"2020/11/11","2020/11/10","2022/11/10","1.34400","60,000","60,000",회사채
,KB캐피탈,KR6021961B70,지속가능채권,케이비캐피탈476-1(지),"2021/07/09","2021/07/08","2023/08/08","1.63400","60,000","60,000",회사채
,KB캐피탈,KR6021961C53,지속가능채권,케이비캐피탈491-1(지),"2022/06/02","2022/05/31","2024/02/29","4.61000","30,000","30,000",회사채
,KB캐피탈,KR6021962AB4,지속가능채권,케이비캐피탈462-2(지),"2020/11/11","2020/11/10","2023/05/10","1.41700","60,000","60,000",회사채
,KB캐피탈,KR6021962B79,지속가능채권,케이비캐피탈476-2(지),"2021/07/09","2021/07/08","2023/12/08","1.73400","50,000","50,000",회사채
,KB캐피탈,KR6021962C52,지속가능채권,케이비캐피탈491-2(지),"2022/06/02","2022/05/31","2024/05/31","4.72600","50,000","50,000",회사채
,KB캐피탈,KR6021963AB2,지속가능채권,케이비캐피탈462-3(지),"2020/11/11","2020/11/10","2023/10/10","1.52900","90,000","90,000",회사채
,KB캐피탈,KR6021963B78,지속가능채권,케이비캐피탈476-3(지),"2021/07/09","2021/07/08","2024/01/08","1.75900","70,000","70,000",회사채
,KB캐피탈,KR6021963BB0,지속가능채권,케이비캐피탈483-1(지),"2021/11/12","2021/11/11","2022/11/11","2.07500","40,000","40,000",회사채
,KB캐피탈,KR6021963C51,지속가능채권,케이비캐피탈491-3(지),"2022/06/02","2022/05/31","2024/09/30","3.76000","20,000","20,000",회사채
,KB캐피탈,KR6021964AB0,지속가능채권,케이비캐피탈462-4(지),"2020/11/11","2020/11/10","2023/11/10","1.55400","90,000","90,000",회사채
,KB캐피탈,KR6021964B77,지속가능채권,케이비캐피탈476-4(지),"2021/07/09","2021/07/08","2024/02/07","1.77000","20,000","20,000",회사채
,KB캐피탈,KR6021964BB8,지속가능채권,케이비캐피탈483-2(지),"2021/11/12","2021/11/11","2022/12/12","2.11400","20,000","20,000",회사채
,KB캐피탈,KR6021964C50,지속가능채권,케이비캐피탈491-4(지),"2022/06/02","2022/05/31","2025/02/28","3.80100","30,000","30,000",회사채
,KB캐피탈,KR6021965B76,지속가능채권,케이비캐피탈476-5(지),"2021/07/09","2021/07/08","2024/07/08","1.84000","50,000","50,000",회사채
,KB캐피탈,KR6021965BB5,지속가능채권,케이비캐피탈483-3(지),"2021/11/12","2021/11/11","2023/01/11","2.15400","10,000","10,000",회사채
,KB캐피탈,KR6021965C59,지속가능채권,케이비캐피탈491-5(지),"2022/06/02","2022/05/31","2025/05/30","3.81200","40,000","40,000",회사채
,KB캐피탈,KR6021966B75,지속가능채권,케이비캐피탈476-6(지),"2021/07/09","2021/07/08","2025/07/08","1.91500","30,000","30,000",회사채
,KB캐피탈,KR6021966C58,지속가능채권,케이비캐피탈491-6(지),"2022/06/02","2022/05/31","2025/05/30","4.98500","10,000","10,000",회사채
,KB캐피탈,KR6021967B74,지속가능채권,케이비캐피탈476-7(지),"2021/07/09","2021/07/08","2026/07/08","2.09800","20,000","20,000",회사채
,KB캐피탈,KR6021967BB1,지속가능채권,케이비캐피탈483-5(지),"2021/11/12","2021/11/11","2023/05/11","2.31400","30,000","30,000",회사채
,KB캐피탈,KR6021967C57,지속가능채권,케이비캐피탈491-7(지),"2022/06/02","2022/05/31","2027/05/31","3.84300","10,000","10,000",회사채
,KB캐피탈,KR60219689B9,녹색채권,케이비캐피탈441-1(녹),"2019/11/25","2019/11/22","2022/11/22","1.77200","70,000","70,000",회사채
,KB캐피탈,KR60219699B8,녹색채권,케이비캐피탈441-2(녹),"2019/11/25","2019/11/22","2024/11/22","1.91100","30,000","30,000",회사채
,KB캐피탈,KR6021969BB7,지속가능채권,케이비캐피탈483-7(지),"2021/11/12","2021/11/11","2023/11/13","2.39500","50,000","50,000",회사채
,KB캐피탈,KR602196ABB2,지속가능채권,케이비캐피탈483-8(지),"2021/11/12","2021/11/11","2024/05/10","2.49200","20,000","20,000",회사채
,KB캐피탈,KR602196DBB6,지속가능채권,케이비캐피탈483-11(지),"2021/11/12","2021/11/11","2026/11/11","2.54700","30,000","30,000",회사채
,롯데쇼핑,KR6023531B44,사회적채권,롯데쇼핑89-1(사),"2021/04/16","2021/04/16","2024/04/16","1.63100","170,000","170,000",회사채
,신한캐피탈,KR6023781AA8,지속가능채권,신한캐피탈430-1(지),"2020/10/19","2020/10/16","2023/10/16","1.55500","150,000","150,000",회사채
,신한캐피탈,KR6023781B17,지속가능채권,신한캐피탈432-1(지),"2021/01/20","2021/01/19","2024/01/19","1.31100","120,000","120,000",회사채
,신한캐피탈,KR6023781B41,지속가능채권,신한캐피탈438-1(지),"2021/04/09","2021/04/08","2023/11/08","1.40600","80,000","80,000",회사채
,신한캐피탈,KR6023781C16,지속가능채권,신한캐피탈452-1(지),"2022/01/11","2022/01/10","2023/12/08","2.38700","20,000","20,000",회사채
,신한캐피탈,KR6023781C57,지속가능채권,신한캐피탈461-1(지),"2022/05/11","2022/05/10","2023/05/10","2.81800","20,000","20,000",회사채
,신한캐피탈,KR6023782AA6,지속가능채권,신한캐피탈430-2(지),"2020/10/19","2020/10/16","2024/10/16","1.66500","50,000","50,000",회사채
,신한캐피탈,KR6023782B16,지속가능채권,신한캐피탈432-2(지),"2021/01/20","2021/01/19","2025/01/17","1.46000","80,000","80,000",회사채
,신한캐피탈,KR6023782B40,지속가능채권,신한캐피탈438-2(지),"2021/04/09","2021/04/08","2024/04/08","1.54800","160,000","160,000",회사채
,신한캐피탈,KR6023782C15,지속가능채권,신한캐피탈452-2(지),"2022/01/11","2022/01/10","2024/07/10","2.60900","30,000","30,000",회사채
,신한캐피탈,KR6023782C56,지속가능채권,신한캐피탈461-2(지),"2022/05/11","2022/05/10","2023/11/10","3.42900","40,000","40,000",회사채
,신한캐피탈,KR6023783B49,지속가능채권,신한캐피탈438-3(지),"2021/04/09","2021/04/08","2025/04/08","1.72900","80,000","80,000",회사채
,신한캐피탈,KR6023783C14,지속가능채권,신한캐피탈452-3(지),"2022/01/11","2022/01/10","2025/01/10","2.65200","30,000","30,000",회사채
,신한캐피탈,KR6023783C55,지속가능채권,신한캐피탈461-3(지),"2022/05/11","2022/05/10","2023/12/08","3.48600","50,000","50,000",회사채
,신한캐피탈,KR6023784B48,지속가능채권,신한캐피탈438-4(지),"2021/04/09","2021/04/08","2026/04/08","1.95400","30,000","30,000",회사채
,신한캐피탈,KR6023784C13,지속가능채권,신한캐피탈452-4(지),"2022/01/11","2022/01/10","2025/02/10","2.66700","50,000","50,000",회사채
,신한캐피탈,KR6023784C54,지속가능채권,신한캐피탈461-4(지),"2022/05/11","2022/05/10","2024/11/08","3.94100","40,000","40,000",회사채
,신한캐피탈,KR6023785C12,지속가능채권,신한캐피탈452-5(지),"2022/01/11","2022/01/10","2025/03/10","2.67300","70,000","70,000",회사채
,신한캐피탈,KR6023785C87,지속가능채권,신한캐피탈467-5(지),"2022/08/10","2022/08/09","2025/02/07","4.46800","30,000","30,000",회사채
,신한캐피탈,KR6023786C11,지속가능채권,신한캐피탈452-6(지),"2022/01/11","2022/01/10","2025/07/10","2.69600","50,000","50,000",회사채
,신한캐피탈,KR6023787C51,지속가능채권,신한캐피탈462-1(지),"2022/05/26","2022/05/25","2024/05/24","3.73000","10,000","10,000",회사채
,신한캐피탈,KR6023788C50,지속가능채권,신한캐피탈462-3(지),"2022/05/26","2022/05/25","2025/05/23","3.88700","30,000","30,000",회사채
,기업은행,KR310501GB76,사회적채권,중소기업은행(신)2107이1.5A-08(사),"2021/08/10","2021/07/08","2023/01/08","1.22000","550,000","550,000",특수채
,기업은행,KR310501GB84,사회적채권,중소기업은행(신)2108이2A-02(사),"2021/09/10","2021/08/02","2023/08/02","1.40000","1,100,000","1,100,000",특수채
,기업은행,KR310501GBA5,사회적채권,중소기업은행(변)2110이1A-07(사),"2021/11/10","2021/10/07","2022/10/07","2.77000","800,000","800,000",특수채
,기업은행,KR310501GC34,사회적채권,중소기업은행 조건부자본증권(상)2203이(후)10A-23(사),"2022/04/08","2022/03/23","2032/03/23","3.41000","400,000","400,000",특수채
,기업은행,KR310501GC67,사회적채권,중소기업은행(변)2206이214A-09(사),"2022/07/08","2022/06/09","2023/01/09","2.76000","480,000","480,000",특수채
,기업은행,KR310501GC75,사회적채권,중소기업은행(변)2207이1A-14(사),"2022/08/10","2022/07/14","2023/07/14","2.90000","660,000","660,000",특수채
,기업은행,KR310501GC83,사회적채권,중소기업은행 조건부자본증권(상)2208이(신)영A-12(사),"2022/08/17","2022/08/12","9999/12/31","4.64000","60,000","60,000",특수채
,기업은행,KR310502G999,지속가능채권,중소기업은행 조건부자본증권(상)(지)1909이(후)10A-11,"2019/09/11","2019/09/11","2029/09/11","1.70000","650,000","650,000",특수채
,기업은행,KR310502GA35,지속가능채권,중소기업은행 조건부자본증권(상)2003이(신)영구A-18지,"2020/04/10","2020/03/18","9999/12/31","2.87000","310,000","310,000",특수채
,기업은행,KR310502GC33,사회적채권,중소기업은행 조건부자본증권(상)2203이(후)15A-23(사),"2022/04/08","2022/03/23","2037/03/23","3.52000","200,000","200,000",특수채
,기업은행,KR310502GC82,사회적채권,중소기업은행 조건부자본증권(상)2208이(신)영B-12(사),"2022/08/17","2022/08/12","9999/12/31","4.59000","540,000","540,000",특수채
,기업은행,KR310503AC20,사회적채권,중소기업은행(신)2202할1A-16(사),"2022/03/10","2022/02/16","2023/02/16","1.84000","330,000","330,000",특수채
,기업은행,KR310503AC79,사회적채권,중소기업은행(신)2207할1A-20(사),"2022/08/10","2022/07/20","2023/07/20","3.39000","600,000","600,000",특수채
,기업은행,KR310503GA34,지속가능채권,중소기업은행 조건부자본증권(상)2003이(신)영구B-18지,"2020/04/10","2020/03/18","9999/12/31","2.43000","90,000","90,000",특수채
,기업은행,KR310503GB66,사회적채권,중소기업은행(신)2106이2A-04(사),"2021/07/09","2021/06/04","2023/06/04","1.17000","580,000","580,000",특수채
,기업은행,KR310503GB90,사회적채권,중소기업은행 조건부자본증권(상)2109이(후)10A-24(사),"2021/10/08","2021/09/24","2031/09/24","2.47000","600,000","600,000",특수채
,기업은행,KR310503GC57,사회적채권,중소기업은행(신)2205이3A-19(사),"2022/06/10","2022/05/19","2025/05/19","3.31000","290,000","290,000",특수채
