CODE,CO_NM,rcept_no,biz_no
286940,롯데정보통신,20220314001163,6878100785
161000,애경케미칼,20220811000214,1138663305
322000,현대에너지솔루션,20220318001065,1188122037
003070,코오롱글로벌,20220321001348,1208150012
004890,동일산업,20220325001115,5028100015
071840,롯데하이마트,20220314000784,1048116860
012630,HDC,20220321001432,1148158853
002900,TYM,20220321001204,1068128552
115390,락앤락,20220718000311,3128180212
138490,코오롱플라스틱,20220321001369,5108105710
053210,스카이라이프,20220321001037,1178131120
006390,한일현대시멘트,20220318000803,2148124240
084010,대한제강,20220317000844,6038113259
068400,SK렌터카,20220318000329,1138132864
058650,세아홀딩스,20220802000337,1048163174
108670,LX하우시스,20220316001343,1078718122
008490,서흥,20220317000935,1308100576
018250,애경산업,20220317000002,1138111573
281820,케이씨텍,20220321000733,6128153314
002270,롯데푸드,20220315001228,1101110033722
092220,KEC,20220322001114,1198191880
016800,퍼시스,20220317001198,2158120534
226320,잇츠한불,20220322000457,2208723971
130660,한전산업,20220323001234,2038158148
071320,지역난방공사,20220322000684,1298202760
033270,유나이티드제약,20220314000819,3078105244
007460,에이프로젠 MED,20220331001224,2198100146
016590,신대양제지,20220322000706,1348102858
001510,SK증권,20220316001039,1168136307
122900,아이마켓코리아,20220322000751,1048158502
005500,삼진제약,20220317000889,1058100769
015860,일진홀딩스,20220317001173,1248134732
003220,대원제약,20220317001141,2078136336
003300,한일홀딩스,20220321000887,2208103255
000050,경방,20220805000069,1078105232
077970,STX엔진,20220322000774,6098162781
009290,광동제약,20220317000780,1138108888
024720,한국콜마홀딩스,20220317000793,3078102816
293480,하나제약,20220331002435,1248137632
002960,한국쉘석유,20220317000845,6178100016
000480,조선내화,20220314000889,4168107056
107590,미원홀딩스,20220323000968,4028181192
002150,도화엔지니어링,20220310000616,2118108009
001500,현대차증권,20220310000899,1168134691
055490,테이팩스,20220816000332,1398115931
011700,한신기계,20220322000815,1348103309
026890,디피씨,20220321001468,1348107979
016580,환인제약,20220310000467,2158136171
213500,한솔제지,20220315001234,1048658322
001790,대한제당,20220317000728,1218107309
271980,제일약품,20220315001104,6288800669
004250,NPC,20220323001097,1348126904
002990,금호건설,20220322000355,1048131309
002020,코오롱,20220816002002,2028144660
001630,종근당홀딩스,20220317001328,1138106667
104700,한국철강,20220412002260,6098184470
084690,대상홀딩스,20220317001203,2068601066
298690,에어부산,20220323001066,6058184518
001250,GS글로벌,20220317000701,2028133028
002710,TCC스틸,20220812000477,1078113810
214330,금호에이치티,20220516002226,4098107801
000490,대동,20220317001231,5148106690
081000,일진다이아,20220316000616,3038140972
001780,알루코,20220318000527,3068101212
037710,광주신세계,20220816000334,4108127563
009680,모토닉,20220310000288,1018102940
001520,동양,20220323000930,1168134352
000020,동화약품,20220322000889,1108100102
101060,SBS미디어홀딩스,20211115000845,1101113852856
095720,웅진씽크빅,20220317001265,1418109131
005810,풍산홀딩스,20220317001273,1228102549
009410,태영건설,20220310001209,1058174543
001200,유진투자증권,20220316000791,1168134177
020120,키다리스튜디오,20220317000876,1068149784
006060,화승인더,20220812000471,6068101863
103590,일진전기,20220317001272,1248667922
004380,삼익THK,20220329000395,5038110869
024090,디씨엠,20220316000782,6218116744
036530,SNT홀딩스,20220218001429,1268114881
029460,케이씨,20220321000938,1208105593
005960,동부건설,20220713000108,2018145685
105840,우진,20220310000376,1358105713
092230,KPX홀딩스,20220317001234,1108175919
084680,이월드,20220317000602,5038168487
009580,무림P&P,20220315000694,6108102842
002810,삼영무역,20220317000637,1058155304
001570,금양,20220322000647,6068104711
077500,유니퀘스트,20220317000373,1208156132
028100,동아지질,20220315001251,6218112675
006490,인스코비,20220321001203,1198103654
068290,삼성출판사,20220323000869,2148714287
002390,한독,20220316001089,2208100530
035510,신세계 I&C,20220816001345,2018120549
003570,SNT중공업,20220218001040,1058132752
003060,에이프로젠제약,20220314001107,2188100518
128820,대성산업,20220317001086,1018656344
001130,대한제분,20220317001052,1048104345
025000,KPX케미칼,20220317000976,1108133923
079980,휴비스,20220316000822,2158198804
012610,경인양행,20220330000263,1378100562
000230,일동홀딩스,20220317001050,2298114690
008040,사조동아원,20220316000709,1368101103
044450,KSS해운,20220317000405,1018134423
033180,KH 필룩스,20220322001131,1278107398
039570,HDC아이콘트롤스,20220804000232,1208193646
001270,부국증권,20220317000866,1168108723
001940,KISCO홀딩스,20220317000898,6088100778
200880,서연이화,20220317001027,2208882958
031440,신세계푸드,20220321000592,2158147377
002100,경농,20220322000678,2148108779
011280,태림포장,20220317001089,1338122623
001360,삼성제약,20220812000933,2078100726
035150,백산,20220712000592,1338123001
015360,예스코홀딩스,20220321000968,2188106851
000540,흥국화재,20220317001158,1028107837
000680,LS네트웍스,20220519000247,6228104805
014280,금강공업,20220317000899,6038115882
006880,신송홀딩스,20220715000103,1168104391
004360,세방,20220812000769,6178103842
002140,고려산업,20220317000641,6048100024
234080,JW생명과학,20220328001123,1338125692
101530,해태제과식품,20220817000003,3128149680
001340,백광산업,20220316000411,1138101094
011500,한농화성,20220317000292,4018101273
002210,동성제약,20220328000201,2118125288
007540,샘표,20220323001080,2178100359
005720,넥센,20220321000535,6188115827
033920,무학,20220318000779,6088107131
004560,현대비앤지스틸,20220321000797,1208128432
000970,한국주철관,20220317000790,6038104347
036580,팜스코,20220321000655,1298130202
000390,삼화페인트,20220316000363,1348117477
003160,디아이,20220317001034,2118124974
013360,일성건설,20220318000548,1058129640
013570,디와이,20220316000565,1398104152
074610,이엔플러스,20220331003484,1348608314
000430,대원강업,20220317000256,1048115560
017550,수산중공업,20220323001120,1248131958
005010,휴스틸,20220323001079,1078111563
083420,그린케미칼,20220315000608,3168103672
014160,대영포장,20220322000600,1348101183
094280,효성ITX,20220315001007,1208173505
007860,서연,20220317001041,1138101115
004970,신라교역,20220316000745,2198100919
090350,노루페인트,20220317000703,1238606034
092200,디아이씨,20220318000617,6208110295
282690,동아타이어,20220321000425,6018600898
002700,신일전자,20220321000808,1348125389
006740,영풍제지,20220318000643,1258100424
006220,제주은행,20220315001172,6168100615
120030,조선선재,20220325000373,5068170186
012030,DB,20220322000400,2118119938
267850,아시아나IDT,20220323001196,1048122547
015230,대창단조,20220317000548,6068130107
015540,쎌마테라퓨틱스,20220516000649,1188103215
002170,삼양통상,20220331003424,2208130276
004080,신흥,20220321000785,1148143063
014790,한라,20220317001226,2158140656
033530,세종공업,20220324000888,6208100119
000700,유수홀딩스,20220331002815,1168135822
004960,한신공영,20220713000230,1148104605
004090,한국석유,20220317000638,1068103639
004310,현대약품,20220216001148,1308100988
078520,에이블씨엔씨,20220415000633,1198134685
000320,노루홀딩스,20220317000717,1238102601
000180,성창기업지주,20220315001222,6038108663
003650,미창석유,20220324000331,6018108046
210540,디와이파워,20220316000560,6098622391
000860,강남제비스코,20220321000879,6058103330
017040,광명전기,20220322000565,1348104007
100840,SNT에너지,20220218001091,6098181774
010040,한국내화,20220321001149,6228106900
017900,광전자,20220321000459,4038102808
001750,한양증권,20220315001266,1168115073
053690,한미글로벌,20220816000695,2208133593
004140,동방,20220317001208,1058169429
014530,극동유화,20220323000781,6218100510
004540,깨끗한나라,20220317000954,2018112618
002450,삼익악기,20220322000742,1228101045
012800,대창,20220322000499,1338123689
008260,NI스틸,20220310001141,2148171272
267290,경동도시가스,20220317000553,1438132491
005430,한국공항,20220315001111,1098133068
001260,남광토건,20220322000463,1208101995
019440,세아특수강,20220314001226,5068104497
123690,한국화장품,20220812001253,1018655141
093230,이아이디,20220816000144,5138127033
006370,대구백화점,20220317000591,5018100026
006380,카프로,20220315000294,1018124186
012690,모나리자,20220812000818,1098107177
012200,계양전기,20220407002814,1048134422
067830,세이브존I&C,20220317000879,2108141081
014580,태경비케이,20220315000630,1098127101
011150,CJ씨푸드,20220321000834,2298112289
009440,KC그린홀딩스,20220325000392,1058170848
016880,웅진,20220318000001,2088106344
009810,플레이그램,20220321000756,1068130984
004060,SG세계물산,20220316000435,1198101073
023800,인지컨트롤스,20220321001159,1338122303
003560,IHQ,20220816000701,2118120395
002360,SH에너지화학,20220322000701,4018109407
020760,일진디스플,20220322001113,3038110352
000300,대유플러스,20220322000990,1198101490
006340,대원전선,20220317000144,1248105047
007110,일신석재,20220317001166,2148194289
004720,팜젠사이언스,20220321001357,1248136540
000500,가온전선,20220816001768,1238100049
025750,한솔홈데코,20220315001058,1028137194
005740,크라운해태홀딩스,20220518000298,2168100486
001290,상상인증권,20220321001270,1168114318
003350,한국화장품제조,20220318000130,1028120368
013870,지엠비코리아,20220323000588,6098102857
005800,신영와코루,20220317000404,1198101559
023000,삼원강재,20220310000009,5068112319
002600,조흥,20220310000270,1138106497
002760,보락,20220317000649,1248134203
002220,한일철강,20220310001096,2018144712
005870,휴니드,20220308000872,1238106174
034300,신세계건설,20220316000875,2018144158
024890,대원화성,20220816001036,2048136263
027740,마니커,20220318001071,1358103151
002720,국제약품,20220317000400,2078100309
025820,이구산업,20220316000677,1348102580
010600,웰바이오텍,20220322000738,1198104065
004830,덕성,20220318000680,1238100243
004440,삼일씨엔에스,20220328000445,1028137869
011810,STX,20220331003200,6098101917
009460,한창제지,20220316000600,6218109073
002880,대유에이텍,20220324000531,1278100094
091090,세원이앤씨,20220316000412,1078680236
004410,서울식품,20220323000713,1348107983
007590,동방아그로,20220317000463,1128130484
031820,콤텍시스템,20220328001029,2298112824
016090,대현,20220317000488,2118119302
227840,현대코퍼레이션홀딩스,20220323001338,8138800272
012170,아센디오,20220816002550,1058104294
009180,한솔로지스틱스,20220222001884,1028141359
008250,이건산업,20220321000977,1318106200
016740,두올,20220321001298,2208123514
002200,한국수출포장,20220316000914,2148144931
000650,천일고속,20220810000340,6048100854
006660,삼성공조,20220317001008,6098102070
001140,국보,20220812000297,1048124870
047400,유니온머티리얼,20220316001172,5148137645
007980,태평양물산,20220322000869,1348105011
009320,대우부품,20220323001221,1238100262
155660,DSR,20220322000343,6178100224
134790,시디즈,20220317000781,2158748121
004840,DRB동일,20220316000864,6218101635
101140,인바이오젠,20220321000875,1258173285
002630,오리엔트바이오,20211111000394,2188101142
003720,삼영화학,20220322000953,1138106556
163560,동일고무벨트,20220315000862,6218197752
006090,사조오양,20220331002835,1048127881
000910,유니온,20220317001135,1048124962
013700,까뮤이앤씨,20220711000510,6048116870
013520,화승코퍼레이션,20220325001293,6218105780
011330,유니켐,20220321001005,1348103920
071090,하이스틸,20220308000841,2018178906
058850,KTcs,20220321001408,3148142683
133820,화인베스틸,20220321000940,6088168647
011390,부산산업,20220317000676,6068156897
129260,인터지스,20220321001232,6018100739
000950,전방,20220317000094,1028117373
023350,한국종합기술,20220317001068,1298120591
058860,KTis,20220321001238,1018171660
012320,경동인베스트,20220321000391,6208100410
111110,호전실업,20220331002749,1058164268
143210,핸즈코퍼레이션,20220323000898,1378103633
011090,에넥스,20220316001347,2208131765
021820,세원정공,20210917000208,5038111081
004910,조광페인트,20220321001064,6068100205
118000,우리들휴브레인,20220816001524,5048184573
004450,삼화왕관,20220317000402,1388103179
027970,세하,20220323000788,5148103863
012160,영흥,20220321000602,6098102065
025620,제이준코스메틱,20220816002378,1388103204
010100,한국프랜지,20220317000361,6208100079
006980,우성,20220816000325,3058120439
090080,평화산업,20220321001445,5148157898
023960,에쓰씨엔지니어링,20220726000333,1168107777
002920,유성기업,20220321001007,1308104489
001020,페이퍼코리아,20220330001348,4018100013
008420,문배철강,20220310001184,1168100532
026940,부국철강,20220317000378,4108105725
005110,한창,20220323001074,6078117053
069730,DSR제강,20220321000461,6178102687
008870,금비,20211222000233,1268109409
049800,우진플라임,20220322000393,1318139905
015260,에이엔피,20220322000949,1308106245
009770,삼정펄프,20220323001311,1258100201
021050,서원,20220323001011,1348101655
002690,동일제강,20220323000738,1138107346
092780,동양피스톤,20220323000753,1348101198
001380,SG글로벌,20220315000715,3148108778
005360,모나미,20220321000384,1208108227
006200,한국전자홀딩스,20220325001334,2298101123
004870,티웨이홀딩스,20220323000447,2078100110
002820,SUN&L,20220812000487,1098133530
000040,KR모터스,20220518000138,3058100020
006570,대림통상,20220323000843,1028101153
014990,인디에프,20220317001075,1208117274
010660,화천기계,20220316000724,1148145488
019180,티에이치엔,20220322000923,5038119351
015020,이스타코,20220323000253,1338122225
001620,케이비아이동국실업,20220323000961,1068112972
005820,원림,20220321000664,1198101618
123700,SJM,20220321000611,1348666202
004100,태양금속,20220315000922,1348100016
010640,진양폴리,20220729000335,1258118884
002070,비비안,20220323000957,1078111092
024070,WISCOM,20220317000365,1348103288
004920,씨아이테크,20220323000416,2108101231
093240,형지엘리트,20211006000667,1058639463
044380,주연테크,20220317000997,1168123200
011420,갤럭시아에스엠,20220323000490,1348102367
025530,SJM홀딩스,20220321001283,1348102386
012600,센트럴인사이트,20220728000250,2088107756
010400,우진아이엔에스,20220812000678,1148133003
084670,동양고속,20220321001435,1388128578
000760,이화산업,20220317000371,1078113542
030720,동원수산,20220317000755,2208109792
007120,미래아이앤지,20220318000627,1148110728
018500,동원금속,20210706000358,5038106778
003680,한성기업,20220321001488,6018108347
009140,경인전자,20220317000142,1198102373
001420,태원물산,20220317000490,1208165136
001770,SHD,20220321000833,1348129352
001210,금호전기,20220811000312,1058100527
011230,삼화전자,20220317000960,1248102768
025890,한국주강,20220325001050,6088105400
010420,한솔PNS,20220315000956,1208159861
071950,코아스,20220318000115,1178109929
008500,일정실업,20220325001322,1028119333
030790,비케이탑스,20220516002703,2158144176
007630,폴루스바이오팜,20220329001342,1101110125967
036490,SK머티리얼즈,20211115001993,1901110006971
263750,펄어비스,20220322001101,1388162479
247540,에코프로비엠,20220321001523,6388600376
253450,스튜디오드래곤,20220321000889,7478100388
278280,천보,20220516002504,3038149444
035760,CJ ENM,20220321001256,1068151510
058470,리노공업,20220321000094,6038129824
112040,위메이드,20220330001704,2098124419
096530,씨젠,20220816000584,1108147859
086520,에코프로,20220323000932,2148626675
035900,JYP Ent.,20220321001029,2298109576
237690,에스티팜,20220317001221,3038152269
005290,동진쎄미켐,20220317000647,1378107814
108320,LX세미콘,20220314000950,3148129147
041510,에스엠,20220331003351,1148163109
240810,원익IPS,20220316000767,6958100374
048260,오스템임플란트,20220401002363,1128147103
064760,티씨케이,20220321000408,1258119772
145020,휴젤,20220816001807,2118704515
025900,동화기업,20220321001243,1378102333
034230,파라다이스,20220317001345,2038143553
141080,레고켐바이오,20220323001117,3148182268
137400,피엔티,20220323001246,5138132083
039030,이오테크닉스,20220321001425,1388111553
098460,고영,20220314000332,1048171655
003380,하림지주,20220322001028,1601110003931
215200,메가스터디교육,20220322000718,7808700034
078340,컴투스,20220816002208,1088116843
067160,아프리카TV,20220321000925,2208110886
041140,넥슨지티,20220317000812,1101110984587
144510,지씨셀,20220318000976,1428137741
030190,NICE평가정보,20220318000520,1168115020
053800,안랩,20220318000583,2148183536
086450,동국제약,20220317001170,1208122608
048410,현대바이오,20220816000023,1268145614
039200,오스코텍,20220314001077,3128132175
036540,SFA반도체,20220318000698,3128130935
122870,와이지엔터테인먼트,20220317001082,1058191810
085660,차바이오텍,20220318000645,1358158340
200130,콜마비앤에이치,20220315001098,1048654817
095700,제넥신,20220317001039,5068131989
000250,삼천당제약,20220321001117,1248104295
084850,아이티엠반도체,20220316000059,1298132781
214450,파마리서치,20220728000031,2208607450
272290,이녹스첨단소재,20220316000661,5018600680
069080,웹젠,20220316000678,2148657130
046890,서울반도체,20220322000455,1128113675
151860,KG ETS,20220317001244,2148640997
182400,엔케이맥스,20220506000344,2068166254
025980,아난티,20220321000814,1348107135
218410,RFHIC,20220317000861,6938100117
290510,코리아센터,20220816001213,2068121131
178320,서진시스템,20220322000549,1228197712
033290,코웰패션,20220323001346,1248122987
060250,NHN한국사이버결제,20220321000552,1058168890
091700,파트론,20220316000778,1248605362
051500,CJ프레시웨이,20220318000545,6038111270
235980,메드팩토,20220314001192,1358633854
038540,상상인,20220328000865,1228118380
089980,상아프론테크,20220321001494,1228116548
092040,아미코젠,20220816002014,6138121213
041960,코미팜,20220316001206,1338123355
033640,네패스,20220816001424,3038105198
243840,신흥에스이씨,20220321001332,1248680186
101490,에스앤에스텍,20220308000676,1298140113
029960,코엔텍,20220318001127,6108116574
038500,삼표시멘트,20220321001062,2298104571
143240,사람인에이치알,20220308000976,1138600917
104830,원익머트리얼즈,20220321000613,3178102448
268600,셀리버리,20220322000746,6178616037
060150,인선이엔티,20220316001227,1288131815
032190,다우데이타,20220324000790,2208101733
104480,티케이케미칼,20220323000850,1078701960
100130,동국S&C,20220314000753,1048163193
061970,엘비세미콘,20220318000595,1298132684
034950,한국기업평가,20220323000431,1168140193
078130,국일제지,20220321001299,1358101449
088800,에이스테크,20220322001149,1318195829
078070,유비쿼스홀딩스,20220325000892,1068191981
048530,인트론바이오,20220316000796,2158174710
078160,메디포스트,20220321001536,2118661218
030530,원익홀딩스,20220322000740,1338127249
051370,인터플렉스,20220318000792,1348121874
083790,크리스탈지노믹스,20220329001039,3148134562
042000,카페24,20220322000966,1188120586
108230,톱텍,20220321001544,6218122815
194700,노바렉스,20220805000410,3178111175
237880,클리오,20220323000999,2118622189
265520,AP시스템,20220330000963,2048700511
082920,비츠로셀,20220707000256,3118101999
036030,케이티알파,20220322000866,2118179649
023760,한국캐피탈,20220322000512,3148115454
122990,와이솔,20220316001433,1358198089
052020,에스티큐브,20220228006794,1308126197
138080,오이솔루션,20220318000658,4098176875
089600,나스미디어,20220317000232,2208180363
044340,위닉스,20220816000731,1338122434
094480,갤럭시아머니트리,20220322000793,1208160844
067280,멀티캠퍼스,20220308000816,1048153114
045390,대아티아이,20220316001395,1168137494
192440,슈피겐코리아,20220321000937,1208736593
131370,알서포트,20220317000827,1148682265
183490,엔지켐생명과학,20220802000113,3148127038
053300,한국정보인증,20220316001369,1108141568
043610,지니뮤직,20220321001520,3148103453
239610,에이치엘사이언스,20220314001188,1238161032
052260,현대바이오랜드,20220314001164,3128124525
054050,농우바이오,20220323000662,1248116938
092730,네오팜,20220316000811,3058138977
041440,현대에버다임,20220318000828,1078145758
216050,인크로스,20220816002038,2148813475
200230,텔콘RF제약,20220331003320,1358129641
021320,KCC건설,20220317000816,2148169965
263050,유틸렉스,20220816002635,8638600031
036560,영풍정밀,20220315001192,2118115683
046140,SBS콘텐츠허브,20220317001191,1168176255
039860,나노엔텍,20220316000848,2298108112
056700,신화인터텍,20220321000639,1248135935
007820,에스엠코어,20220318001039,1138117320
016250,SGC이테크건설,20220812000666,2148189369
016600,큐캐피탈,20220321001290,2208108089
021880,메이슨캐피탈,20210618000183,4028108740
036670,KCI,20220311000895,1338126385
293580,나우IB,20220816000110,1208718329
010470,오리콤,20220321000959,2118134531
190650,코리아에셋투자증권,20210622000164,1208197564
019570,리더스 기술투자,20220622000196,1168116053
