순번,인증번호,기술명칭,분류코드,기관명,발급부처,인증확정일,인증만료일
1,GT-19-00773,염가공 공정 에너지 절감형 기능성 편성물 생산기술,T070802,(주)엘에스케이화인텍스,환경부,2019.11.14,2025.11.13
2,GT-19-00767,목적부 조명방식과 내부반사구조를 이용한 LED 조명식 표지판 제작기술,T080203,(주)세한이노테크,중소벤처기업부,2019.10.17,2025.10.16
3,GT-19-00763,클라우드 기반의 자동 압축 동기화에 의한 공간압축 소프트웨어기술,T040603,(주)테트라,과학기술정보통신부,2019.10.17,2025.10.16
4,GT-19-00761,재생 저밀도 및 고밀도 폴리에틸렌을 이용한 종량제봉투 제조 기술,T100503,인테크,중소벤처기업부,2019.10.17,2025.10.16
5,GT-19-00751,실내오염물질 제거 기능을 갖는 열회수형 환기시스템 기술,T100702,(주)경동나비엔,환경부,2019.10.17,2025.10.16
6,GT-19-00757,GPIO 포트를 활용한 컴퓨터 에너지 절감 기술,T040601,(주)리퓨터,중소벤처기업부,2019.10.17,2025.10.16
7,GT-19-00762,폐열회수형 항온항습 히트펌프 시스템 기술,T080205,주식회사 이디세븐,과학기술정보통신부,2019.10.17,2025.10.16
8,GT-19-00750,암반에서 확공을 이용한 앵커의 친환경공정 기술,T100502,(주)세종이엔씨,국토교통부,2019.10.17,2025.10.16
9,GT-19-00758,가시광 응답형 광촉매를 코팅한 석탄회 재활용 점토벽돌 제조기술,T100302,코코세라믹 주식회사,환경부,2019.10.17,2025.10.16
10,GT-19-00753,탁도 정화 기능을 적용한 스테인레스 물탱크 제조기술,T030701,(주)현진기업,농림축산식품부,2019.10.17,2025.10.16
11,GT-22-01503,에탄올 타입 잉크와 자원 절약형 공정 시스템이 적용된 유해성 저감 포장재 제조기술,T100503,희성폴리머(주),농림축산식품부,2022.09.15,2025.09.14
12,GT-22-01476,항균성 및 항곰팡이성이 우수한 자원절약형 항균동 플라스틱 소재 제조기술,T100503,클린씨유,중소벤처기업부,2022.09.15,2025.09.14
13,GT-22-01487,이온화장치가 구비된 재단이송장치를 이용한  재생복사용지 제조기술,T100503,한국장애인정보화협회,중소벤처기업부,2022.09.15,2025.09.14
14,GT-22-01482,이산화염소수 제조장치를 이용한 산업용 탈취제 제조기술,T100503,퓨어오투,중소벤처기업부,2022.09.15,2025.09.14
15,GT-22-01509,재활용이 가능한 친환경 PE 인조잔디 제작기술,T100503,(주)거북이 ,환경부,2022.09.15,2025.09.14
16,GT-22-01513,공기청정 열회수 환기 복합장치 기술,T100702,디엘이앤씨,국토교통부,2022.09.15,2025.09.14
17,GT-22-01514,공기청정 열회수 환기 복합장치 기술,T100702,(주)힘펠,국토교통부,2022.09.15,2025.09.14
18,GT-22-01502,계측 데이터 관리 방법 및 이를 수행하는 전력 계측 장치 기술,T040804,주식회사 바스코아이씨티,과학기술정보통신부,2022.09.15,2025.09.14
19,GT-22-01508,오염토양 고압세척기술,T100604,지우이앤이(주),국토교통부,2022.09.15,2025.09.14
20,GT-22-01511,스프링 감압기능을 갖는 비상발전기용 매연 저감 기술,T100707,썬테크,환경부,2022.09.15,2025.09.14
21,GT-22-01481,SMPS 바이어스 전압을 능동적으로 조절하는 소비전력 개선형 앰프 기술,T041405,주식회사 데스코,과학기술정보통신부,2022.09.15,2025.09.14
22,GT-22-01495,방사형 빗물 여과 장치 연계 벌집구조형 조립식 플라스틱 빗물 저류 기술 ,T030804,(주)피앤아이휴먼코리아,과학기술정보통신부,2022.09.15,2025.09.14
23,GT-22-01512,입도분류 및 양이온 교환 세척 공정을 이용한 방사성 세슘 오염토양 폐기물 감량 기술,T100303,현대건설(주),환경부,2022.09.15,2025.09.14
24,GT-22-01484,습윤환경에서 시공 가능한 친환경 무기질계 도막 마감 기술,T100503,(주)대명콘스텍,중소벤처기업부,2022.09.15,2025.09.14
25,GT-22-01491,재난 모니터링을 위한 카메라 광축보정 기술,T060303,(주)원우이엔지,국토교통부,2022.09.15,2025.09.14
26,GT-22-01510,하도 및 중도 도막이 필요없는 단차열 도료 제조기술,T100503,이유씨엔씨,환경부,2022.09.15,2025.09.14
27,GT-22-01485,유해가스 제거율이 향상된 공기정화용 나노금속 촉매 제조 기술,T080205,(주)세일에프에이,중소벤처기업부,2022.09.15,2025.09.14
28,GT-22-01504,폐식용유를 이용한 비누의 제조기술,T100501,(유)강청,농림축산식품부,2022.09.15,2025.09.14
29,GT-22-01506,유기성 폐기물을 재활용하여 불용토양에 적용 가능한 다기능성 토양개량제 제조 및 식재지반 조성기술,T090702,(주)가림환경개발 ,농림축산식품부,2022.09.15,2025.09.14
30,GT-22-01507,미세먼지 센서의 수명 연장을 위한 반응도 자동보정 기술,T100705,주식회사 아림사이언스,환경부,2022.09.15,2025.09.14
31,GT-22-01498,회전 가능한 스토퍼를 이용하여 두부가 보강되는 마이크로파일을 통한 건설폐기물 저감기술(스토퍼파일 공법),T100303,동부건설(주),국토교통부,2022.09.15,2025.09.14
32,GT-22-01505,그리스트랩을 이용한 생활폐수 내 동/식물성 유지류 분리 기술,T100302,대신엠씨(주),환경부,2022.09.15,2025.09.14
33,GT-22-01499,회전 가능한 스토퍼를 이용하여 두부가 보강되는 마이크로파일을 통한 건설폐기물 저감기술(스토퍼파일 공법),T100303,주식회사 씨에프티,국토교통부,2022.09.15,2025.09.14
34,GT-22-01477,객체 인식 CCTV로 지능화 변환이 가능한 스마트 교통안전 알림 기술,T040706,주식회사 알트에이,중소벤처기업부,2022.09.15,2025.09.14
35,GT-22-01492,자동차용 자동변속기 재제조 공정기술,T080302,(주)씨앤포스,산업통상자원부,2022.09.15,2025.09.14
36,GT-22-01500,회전 가능한 스토퍼를 이용하여 두부가 보강되는 마이크로파일을 통한 건설폐기물 저감기술(스토퍼파일 공법),T100303,주식회사 한라,국토교통부,2022.09.15,2025.09.14
37,GT-22-01501,회전 가능한 스토퍼를 이용하여 두부가 보강되는 마이크로파일을 통한 건설폐기물 저감기술(스토퍼파일 공법),T100303,건설플러스 주식회사,국토교통부,2022.09.15,2025.09.14
38,GT-22-01497,멀티코어기반의 자동압축 동기화에 의한 저장공간 효율향상 기술,T040602,네오프랜드,중소벤처기업부,2022.09.15,2025.09.14
39,GT-22-01496,폐기물 발생을 저감하는 고차단성 코팅 기술,T100303,율촌화학(주),농림축산식품부,2022.09.15,2025.09.14
40,GT-22-01478,2차원 데이터 해석기술을 적용한 수질오염경보시스템기술,T060101,(주)이엔아이씨티,과학기술정보통신부,2022.09.15,2025.09.14
41,GT-22-01494,무정전전원장치의 주파수 적응형 고조파 저감기술,T040503,성신전기공업(주),과학기술정보통신부,2022.09.15,2025.09.14
42,GT-22-01489,부유식 회전을 통해 발전량을 향상시킨 수상 태양광 발전 기술,T010105,주식회사 비케이에너지,중소벤처기업부,2022.09.15,2025.09.14
43,GT-22-01493,AC프리수지를 적용한 에탄올 베이스의 유해성 저감형 포장재 제조기술,T100503,유니젠,농림축산식품부,2022.09.15,2025.09.14
44,GT-22-01490,경량 강보강재를 이용한 철근콘크리트 기둥 급속 내진보강공법,T100503,(주)대우건설,국토교통부,2022.09.15,2025.09.14
45,GT-22-01486,경량 강보강재를 이용한 철근콘크리트 기둥 급속 내진보강공법,T100503,(주)대우에스티,국토교통부,2022.09.15,2025.09.14
46,GT-22-01483,고압 Dry-air 절연기술을 이용한 SF6-free 친환경 배전반 기술,T020203,현대일렉트릭앤에너지시스템,과학기술정보통신부,2022.09.15,2025.09.14
47,GT-22-01488,경량 강보강재를 이용한 철근콘크리트 기둥 급속 내진보강공법,T100503,주식회사 정호,국토교통부,2022.09.15,2025.09.14
48,GT-22-01480,전력 절감 및 플리커 개선 효과가 있는 능동형(AM) LED 전광판 제조 기술,T040501,빛샘전자(주),중소벤처기업부,2022.09.15,2025.09.14
49,GT-22-01479,ESS 및 무효전력보상 기능을 통해 역률 및 전력효율 개선한  무정전전원장치 기술,T040501,대농산업전기(주),중소벤처기업부,2022.09.15,2025.09.14
50,GT-22-01475,단열 및 차수 구조를 구비한 커튼월 제조기술,T100503,주식회사 긴키테크코리아,중소벤처기업부,2022.09.15,2025.09.14
51,GT-22-01474,콘크리트 누설을 방지하는 일체형 데크플레이트를 활용한 오염방지 기술,T100503,주식회사 디앤에프,중소벤처기업부,2022.09.15,2025.09.14
52,GT-19-00723,유독물질 사용 및 배출 저감형 에폭시 합성수지를 적용한 몰드 변압기 제조기술,T100503,제룡전기(주),환경부,2019.09.05,2025.09.04
53,GT-19-00748,태양전지 배터리 수명을 연장하는 지능형 LED Dimming 제어기술,T020703,(주)삼영이엔지,환경부,2019.09.05,2025.09.04
54,GT-19-00728,냉매 과냉각 및 과열증기 냉각을 위한 복합열원 이용 열펌프 성능 개선 기술,T010801,(주)유천써모텍,산업통상자원부,2019.09.05,2025.09.04
55,GT-19-00746,동ㆍ하절기 전환용 냉조절 기능을 갖는 냉조절기장치 제조 기술,T080203,(주)케이에스피,중소벤처기업부,2019.09.05,2025.09.04
56,GT-19-00735,꼬막 패각을 재활용한 산화칼슘의 제조 기술,T100302,(주)드림라임,해양수산부,2019.09.05,2025.09.04
57,GT-19-00740,재활용 인공경량토양을 사용한 일체형 유닛 시스템 인공지반 경량녹화기술,T100603,(주)한국도시녹화,국토교통부,2019.09.05,2025.09.04
58,GT-19-00727,표면오염 방지기능이 강화된 합성목재 제조기술,T100302,(주)지케이우드,환경부,2019.09.05,2025.09.04
59,GT-19-00737,모노 이미지 변환 후 자가 진단하여 싱크신호 제어를 하는 모니터 절전기술,T040501,(주)엠텍정보,중소벤처기업부,2019.09.05,2025.09.04
60,GT-19-00744,흡수성에 의한 우산빗물 제거기술,T100303,주식회사지나테크,과학기술정보통신부,2019.09.05,2025.09.04
61,GT-19-00742,탄소 소재 PCB를 이용한 LED 실외 등기구 제조기술,T020703,에이펙스인텍(주),환경부,2019.09.05,2025.09.04
62,GT-19-00738,보드용 워터제트 전기추진 기술,T050403,(주)제트웨이크,해양수산부,2019.09.05,2025.09.04
63,GT-19-00734,폐 알루미늄 포장지 필름의 재활용 충진을 통한 원강성과 내구성이 향상된 삼중충진벽관 제조기술,T100503,주식회사 삼창파이프,중소벤처기업부,2019.09.05,2025.09.04
64,GT-22-01473,폐자원을 활용한 종량제 봉투 기술,T100503,양정산업사,중소벤처기업부,2022.07.28,2025.07.27
65,GT-22-01463,인공지능모델을 이용한 자율음향조율기술,T040803,(주)지브이코리아,중소벤처기업부,2022.07.28,2025.07.27
66,GT-22-01456,흡음재를 사용하지 않는 불규칙 반사 구조의 일체형 방음패널 제조 기술,T080203,고암인더스트리(주),중소벤처기업부,2022.07.28,2025.07.27
67,GT-22-01457,안전 그리드 시스템을 갗춘 내진형 배전반 기술,T080101,(주)일렉콤,중소벤처기업부,2022.07.28,2025.07.27
68,GT-22-01471,가스인젝터를 적용한 수용성 탈취 향상 기술,T100706,(주)코템,환경부,2022.07.28,2025.07.27
69,GT-22-01472,듀얼루프 제어 및 드룹제어기를 적용한 무정전전원장치 제어기술,T040503,(주)재신파워텍,과학기술정보통신부,2022.07.28,2025.07.27
70,GT-22-01468,폐합성수지를 재활용한 종량제 쓰레기봉투 제조 기술,T100503,주식회사동성,중소벤처기업부,2022.07.28,2025.07.27
71,GT-22-01470,하수관로 자산경영 시스템,T040705,주식회사 태성에스엔아이,산업통상자원부,2022.07.28,2025.07.27
72,GT-22-01469,연장돌기와 몰딩홈을 이용하여 기밀성이 향상된 LED 바닥신호등 제조기술,T020703,주식회사 필립트론,중소벤처기업부,2022.07.28,2025.07.27
73,GT-22-01467,화학적 에칭 및 세정을 통한 재생 칩 폴리 생산 기술,T080301,주식회사 파인에코,중소벤처기업부,2022.07.28,2025.07.27
74,GT-22-01461,단열지지대 형성으로 조립성과 단열성이 향상된 스윙창 제조기술,T100503,(주)신성기업,중소벤처기업부,2022.07.28,2025.07.27
75,GT-22-01459,합성목재 복합체 제조기술,T100503,주식회사 테크유니온,중소벤처기업부,2022.07.28,2025.07.27
76,GT-22-01465,합성수지 연결소재를 활용한 커튼월창 단열성능 향상기술,T100503,(주)윈도우코리아,환경부,2022.07.28,2025.07.27
77,GT-22-01464,PVC 단열재와 방풍 브라켓을 활용한 미서기창 제작기술,T100503,(주)윈도우코리아,환경부,2022.07.28,2025.07.27
78,GT-22-01458,누설전류에 의한 감전사고 피해 저감기술,T030305,주식회사 비젼테크,과학기술정보통신부,2022.07.28,2025.07.27
79,GT-22-01460,폐열 회수용 친환경 발전 시스템 적용을 위한 고효율 나노 다결정 열전 반도체 소재 제조 기술,T071002,엘지이노텍 주식회사,산업통상자원부,2022.07.28,2025.07.27
80,GT-22-01466,각 상 개별제어 방식의 고효율무정전전원장치 기술 ,T040503,세방전기(주),과학기술정보통신부,2022.07.28,2025.07.27
81,GT-22-01462,정제 에폭시화 대두유의 제조기술,T100501,(주)사조대림 칠서공장,중소벤처기업부,2022.07.28,2025.07.27
82,GT-22-01454,"풍지구조를 갖는 미서기창, 단열성능이 향상된 미서기창 기술",T100503,주식회사 긴키테크코리아,중소벤처기업부,2022.07.28,2025.07.27
83,GT-22-01455,옥외용 방수 엘이디 모듈을 적용한 실외용 조명기기 제조기술,T020703,기민전자(주),중소벤처기업부,2022.07.28,2025.07.27
84,GT-19-00692,다중 코팅 백킹부를 통한 기계적물성 및 내환경성 향상 인조잔디 제조기술,T100503,코니터프(주),중소벤처기업부,2019.07.18,2025.07.17
85,GT-19-00717,봉형 방열구조물을 이용한 실외 LED조명기구 제조기술,T020703,(주)퓨쳐라이팅,중소벤처기업부,2019.07.18,2025.07.17
86,GT-19-00700,전응집 기반 응집제어시스템을 이용한 총인처리기술,T030801,(주)한화건설,환경부,2019.07.18,2025.07.17
87,GT-19-00691,단열 및 기밀성능 향상을 위한 탈부착 가능장치가 설치되는 미서기 창호 제작기술,T060401,주식회사 중원윈테크,환경부,2019.07.18,2025.07.17
88,GT-19-00690,구조용 유리섬유와 탄소섬유를 적층하여 제작된 난연 보강섬유 패널 및 시트에 난연성 접착제를 부착한 콘크리트 구조물 보강기술,T100503,한국내진시스템(주),중소벤처기업부,2019.07.18,2025.07.17
89,GT-19-00694,폐 EPDM 고무분말 충전재와 폴리우레아를 이용한 고탄성 바닥재 제조 기술,T100503,주식회사 신창우레탄,중소벤처기업부,2019.07.18,2025.07.17
90,GT-19-00696,채색 석분혼합 조성물을 이용한 석재 장식품의 상감 기술,T100303,(주)줌톤,환경부,2019.07.18,2025.07.17
91,GT-19-00704,탄화섬유 강화 폴리우레탄 강관내면 도장기술,T030901,현대특수강(주),환경부,2019.07.18,2025.07.17
92,GT-19-00721,가축분뇨의 토양미생물에 의한 액체비료 및 탈취제 제조기술,T100403,(주)키랜드디앤씨,농림축산식품부,2019.07.18,2025.07.17
93,GT-19-00722,리플렉터 간접광 기술을 적용한 LED등기구,T020701,이피코리아(주),중소벤처기업부,2019.07.18,2025.07.17
94,GT-19-00707,인근지역 태양광 발전효율을 상호 비교하여 고장 예측을 하는 태양광발전장치 기술,T010105,(주)일렉콤,중소벤처기업부,2019.07.18,2025.07.17
95,GT-19-00706,"실내 LED조명기구 및 유무선 제어장치, 센서 통합제어(프로토콜) 기술",T020701,케이에이치필룩스 주식회사,산업통상자원부,2019.07.18,2025.07.17
96,GT-19-00709,오염토 혼합분리 세척 기술을 이용한 세척수 재이용 및 슬러지 저감기술,T100604,주식회사 아이케이,국토교통부,2019.07.18,2025.07.17
97,GT-19-00701,"기수분리, 화염 재연소, 폐열에 의한 재 가열기술이 적용된 보일러 기술",T020906,(주)동광보일러,중소벤처기업부,2019.07.18,2025.07.17
98,GT-22-01435,역률보정형 디밍컨버터가 적용된 LED등기구 제조 기술,T020701,(주)금강에너텍,중소벤처기업부,2022.06.23,2025.06.22
99,GT-22-01438,단열구조와 조립성능을 개선한 미서기창 제조기술,T100503,아진산업합자회사,환경부,2022.06.23,2025.06.22
100,GT-22-01445,영구대전방지가 가능한 WPC 제조기술,T100503,(주)에코로,환경부,2022.06.23,2025.06.22
101,GT-22-01452,LNG선 Cargo용 Secondary Barrier 제조 기술,T050401,(주)한국카본,해양수산부,2022.06.23,2025.06.22
102,GT-22-01453,LNG선 Cargo용 Insulation Panel 제조 기술,T050401,(주)한국카본,해양수산부,2022.06.23,2025.06.22
103,GT-22-01450,유기농 면사를 이용한 심재 없는 친환경 타월 제조기술,T100503,(주)엘리트프랜즈,환경부,2022.06.23,2025.06.22
104,GT-22-01451,육상전원공급장치용 7.2kV 350A  플러그 및 소켓 설계 및 제조기술,T050802,주식회사 엘스콤,해양수산부,2022.06.23,2025.06.22
105,GT-22-01449,비전센서 기반 지능형 구조물 안전진단 모니터링 시스템 기술,T040805,세안기술주식회사,중소벤처기업부,2022.06.23,2025.06.22
106,GT-22-01447,단열부 및 지지판부의 높낮이 조절이 가능한 단열 창호 기술,T100503,(유)원진알미늄,환경부,2022.06.23,2025.06.22
107,GT-22-01448,비관측지점에 대한 AI기반 기상데이터 생성기술,T100202,한국해양기상기술,해양수산부,2022.06.23,2025.06.22
108,GT-22-01446,흡탈착 동시제어공정이 적용된 재생농축회수기술,T100707,(주)누리플랜,국토교통부,2022.06.23,2025.06.22
109,GT-22-01444,폐PU폼을 재활용한 건축용 흡음재 생산 기술,T100302,(주)디아이티그린,환경부,2022.06.23,2025.06.22
110,GT-22-01442,유동층 건조기를 이용한 고분자응집제 제조기술,T080204,에스엔에프코리아 (주) 울산공장,환경부,2022.06.23,2025.06.22
111,GT-22-01441,배합 및 금형기술을 이용한 장기내구성 개선 합성목재(WPC)의 제조기술,T100302,경동산업(주),환경부,2022.06.23,2025.06.22
112,GT-22-01432,센서기반 안전진단 기술을 적용한 태양광발전시스템 제조기술,T010105,(주)부력에너지,중소벤처기업부,2022.06.23,2025.06.22
113,GT-22-01443,사용예측을 기반으로 적응적 절전 및 성능을 제어하는  에너지 절감 컴퓨터 기술,T040501,주식회사 새윤,중소벤처기업부,2022.06.23,2025.06.22
114,GT-22-01439,교반형 제습장치를 이용하여 폐PET를 재활용한 포장 밴드 제조기술,T100503,(주)디에스에스,환경부,2022.06.23,2025.06.22
115,GT-22-01440,응축열교환기가 구비된 보일러 제조기술,T020906,대림로얄이앤피(주),중소벤처기업부,2022.06.23,2025.06.22
116,GT-22-01436,ROM BIOS 정보를 활용한 멀티 측정 방식 절전 기술,T040501,(주)메이커스테크놀로지,과학기술정보통신부,2022.06.23,2025.06.22
117,GT-22-01434,응축 폐열원을 이용한 냉동사이클 구축 기술,T090603,엘케이에스,농림축산식품부,2022.06.23,2025.06.22
118,GT-22-01437,먼지 저감형 고상 제설제 제조 기술,T100503,(주)파인젠,중소벤처기업부,2022.06.23,2025.06.22
119,GT-22-01428,잔광방지회로를 적용한 LED조명 등기구 제조기술,T020701,(주)동영,중소벤처기업부,2022.06.23,2025.06.22
120,GT-22-01433,재활용 합성수지를 이용한 종량제 봉투 제조기술,T100503,한국지체장애인협회,중소벤처기업부,2022.06.23,2025.06.22
121,GT-22-01431,자바스크립트 언어 기반의 비동기 통신 환경에서 클라이언트와 서버 사이의 UI 기반 대용량 데이터 분할 전송 및 처리 트랜잭션 기술,T040602,쉬프트정보통신(주),중소벤처기업부,2022.06.23,2025.06.22
122,GT-22-01430,컴퓨터시스템 소비전력 절감기술,T040501,주식회사비엔피,중소벤처기업부,2022.06.23,2025.06.22
123,GT-22-01429,기능성 무기질 도료 조성물 제조기술,T100503,에스이에프코리아,중소벤처기업부,2022.06.23,2025.06.22
124,GT-22-01427,원추형 회전 유도장치 및 증발잠열부하 저감이 가능한 에너지 절약형 공기조화기 제조 기술,T020909,씨에이엔지니어링(주),중소벤처기업부,2022.06.23,2025.06.22
125,GT-19-00689,초고압 인삼 가공 기술,T090502,(주)뉴트렉스테크놀러지,농림축산식품부,2019.06.13,2025.06.12
126,GT-19-00687,폐자원을 활용한 종량제 봉투 제조기술,T100503,진주화학,중소벤처기업부,2019.06.13,2025.06.12
127,GT-19-00680,"바이오가스 중 황화수소, 암모니아, 실록산 제거를 위한 오니 기반 흡착제 활용기술",T100302,주식회사 태성공영,환경부,2019.06.13,2025.06.12
128,GT-19-00688,내식성 및 내구성이 향상된 희생양극방식 PE 3층 피복강관 및 이형관 제조기술,T030901,웰텍(주),환경부,2019.06.13,2025.06.12
129,GT-19-00679,"바이오가스 중 황화수소, 암모니아, 실록산 제거를 위한 오니 기반 흡착제 활용기술",T100302,신평산업 주식회사,환경부,2019.06.13,2025.06.12
130,GT-19-00682,녹차 추출 잔사로부터 생리활성을 지닌 기능성 녹차 소재 제조 기술,T100404,아모레퍼시픽,농림축산식품부,2019.06.13,2025.06.12
131,GT-19-00686,타이어용 Zinc Free 실리카 분산제 제조 기술,T080101,(주)엠엔비그린어스,중소벤처기업부,2019.06.13,2025.06.12
132,GT-19-00683,개별 덕트를 이용하여 세척이 가능한 공동주택용 환기시스템 기술,T100702,(주)쏘노,환경부,2019.06.13,2025.06.12
133,GT-22-01406,조립식 합성수지 터널박스와 점검구형 전처리조로 구성된 지중 빗물이용시설 기술,T030804,(주)에이치제이중공업,환경부,2022.05.19,2025.05.18
134,GT-22-01411,부분영역 지능형 자동조도조절 알고리즘에 의한 차량번호인식률 향상 및 에너지절감 기술,T060202,아이티에스엔지니어링(주),국토교통부,2022.05.19,2025.05.18
135,GT-22-01413,폴리케톤 소재를 적용한 냉수용 수도 계량기 제조 기술,T100503,주식회사 그린플로우,환경부,2022.05.19,2025.05.18
136,GT-22-01408,양면코팅 비아홀 기반 고방열PCB가 적용된 LED 조명 효율향상 및 에너지절감기술,T020703,(주)금경라이팅,중소벤처기업부,2022.05.19,2025.05.18
137,GT-22-01415,공조용 전도성 필터 모듈이 구비된 미세먼지 제거 시스템 기술,T100708,(주)알링크,환경부,2022.05.19,2025.05.18
138,GT-22-01426,더블헤드 수평이동형 여과판 개폐와 여과포 상하이동식 탈리기술,T100402,(주)에코셋,환경부,2022.05.19,2025.05.18
139,GT-22-01424,유해물질을 저감시킨 중밀도 섬유 판재(MDF) 친환경 표면처리 기술,T100503,(주)넵스,환경부,2022.05.19,2025.05.18
140,GT-22-01425,전기화학방식을 이용한 3D 프린터 국부적층 기술,T041001,(주)애니캐스팅,산업통상자원부,2022.05.19,2025.05.18
141,GT-22-01419,튜브형 강관을 이용한 경량 록볼트 기술,T050604,코오롱글로벌(주),국토교통부,2022.05.19,2025.05.18
142,GT-22-01423,질소산화물 제거 성능이 우수한 콘크리트 혼합재 제조 기술,T100503,동산이엔지,중소벤처기업부,2022.05.19,2025.05.18
143,GT-22-01417,AIoT 융복합 기술을 적용한 V2X 스마트 주차 내비게이션 시스템 기술,T060202,베스텔라랩,과학기술정보통신부,2022.05.19,2025.05.18
144,GT-22-01422,잔류용제 제거 집진설비를 활용한 유해성 저감 포장재 제조기술,T100503,보성포장산업 주식회사,농림축산식품부,2022.05.19,2025.05.18
145,GT-22-01421,부착성능이 향상된 폴리우레아수지 도막 방수재 기술,T100501,(주)라온피플인더스트리,환경부,2022.05.19,2025.05.18
146,GT-22-01420,튜브형 강관을 이용한 경량 록볼트 기술,T050604,주식회사 티에스테크노,국토교통부,2022.05.19,2025.05.18
147,GT-22-01418,도축혈액을 재활용한 효소 분해 공정 기반 사료첨가제 제조 기술,T100303,(주)아미노랩,농림축산식품부,2022.05.19,2025.05.18
148,GT-22-01416,흡·차음성 및 항균성이 우수한 마루바닥재 제조기술,T100503,주식회사 엘림산업,환경부,2022.05.19,2025.05.18
149,GT-22-01414,폴리케톤 소재를 적용한 냉수용 수도 계량기 제조 기술,T100503,삼성계기공업,환경부,2022.05.19,2025.05.18
150,GT-22-01412,칙소성에 의해 엠보 형성이 용이한 탄성바닥재 기술,T100503,한서포리머(주),중소벤처기업부,2022.05.19,2025.05.18
151,GT-22-01410,인쇄품질 관리 기술을 활용한 유해성 저감 포장재 제조 기술,T100503,(주)팔도테크팩,농림축산식품부,2022.05.19,2025.05.18
152,GT-22-01403,상수도관 부식 억제 및 녹 제거 기술,T030806,오주이엔씨(주),과학기술정보통신부,2022.05.19,2025.05.18
153,GT-22-01407,친환경 업사이클 빗물순환 선형녹지 시스템 기술,T030804,어스그린코리아(주),환경부,2022.05.19,2025.05.18
154,GT-22-01409,퍼지엔진을 이용한 자동 역률조정과 화재감지 통합기능을 구비한 내진형 수배전반 기술,T040803,(주)글로이스,중소벤처기업부,2022.05.19,2025.05.18
155,GT-22-01405,조립식 합성수지 터널박스와 점검구형 전처리조로 구성된 지중 빗물이용시설 기술,T030804,주식회사 수엔테크,환경부,2022.05.19,2025.05.18
156,GT-22-01404,폴리염화알루미늄을 활용한 수처리용응집제 제조기술,T100503,이영화학주식회사,환경부,2022.05.19,2025.05.18
157,GT-22-01402,자기발열기술을 적용한 혹한기용 세라믹 모르타르 제조기술,T100503,(주)바이오크리트,중소벤처기업부,2022.05.19,2025.05.18
158,GT-22-01401,압력신호기반 수충격 방지 기술,T030803,(주)에스엠테크,과학기술정보통신부,2022.05.19,2025.05.18
159,GT-22-01400,고수분 전이성을 갖는 냉감 의류 기술,T070802,두진양행(주),산업통상자원부,2022.05.19,2025.05.18
160,GT-22-01399,절전형 음식물 종량제 처리기를 위한 포토센서 기반 RFID 제어기술,T040501,주식회사지테크인터내셔날,중소벤처기업부,2022.05.19,2025.05.18
161,GT-19-00657,방열 세라믹코팅에 의해 방열성능이 개선된 LED등기구 제조기술,T020703,(주)매그나텍,중소벤처기업부,2019.05.16,2025.05.16
162,GT-19-00664,Self Wake-Up 기능을 갖는 모니터 대기전력 저감 기술,T020910,삼성전자(주),환경부,2019.05.16,2025.05.15
163,GT-19-00654,총인 처리를 위한 더블 하이드로싸이클론 응집·혼화 기술,T030801,(주)경우크린텍,환경부,2019.05.16,2025.05.15
164,GT-19-00672,방열구조가 구비된 LED 등기구 회로기판 기술,T020703,(주)쎄미라이팅,중소벤처기업부,2019.05.16,2025.05.15
165,GT-19-00676,과전압보호 제어 회로를 적용한 LED실내조명등 제조기술,T020701,(주)퓨쳐라이팅,중소벤처기업부,2019.05.16,2025.05.15
166,GT-19-00659,트레이 일체형 단열 커튼월 기술,T060401,(주)하이퍼윈도우,국토교통부,2019.05.16,2025.05.15
167,GT-19-00653,주위 조도에 따라 밝기 조절이 되는 조명식 도로표지 기술 ,T040501,(주)현대표지,중소벤처기업부,2019.05.16,2025.05.15
168,GT-19-00665,선박용 저압식 미분무수 시스템 소방기술,T050903,탱크테크(주),해양수산부,2019.05.16,2025.05.15
169,GT-19-00675,키토산 세라믹 도장강관의 내구성 및 항균성 향상기술,T030901,성은종합철강(주),환경부,2019.05.16,2025.05.15
170,GT-19-00668,자연냉각 방식의 통기공이 형성된 에너지 절감형 LED 전광판 제조기술,T040107,주식회사베이직테크,중소벤처기업부,2019.05.16,2025.05.15
171,GT-19-00670,단열커버를 통해 단열성을 높여 에너지 절약 및 탄소 절감이 가능한 창호 제조기술,T100503,(주)선진알미늄,중소벤처기업부,2019.05.16,2025.05.15
172,GT-19-00649,전달시간차 방식의 외벽부착식 초음파 유량계를 이용한 유량 측정 기술,T030401,자인테크놀로지(주),환경부,2019.04.18,2025.04.17
173,GT-19-00631,무선 빌딩 냉난방 제어 기술을 포함한 실시간 자동 조명 제어설비 기술,T040804,(주)엠알바스,중소벤처기업부,2019.04.18,2025.04.17
174,GT-19-00629,유기성 오니를 이용한 폐기물 매립시설용 복토재 제조기술,T100402,(주)연호이앤이,중소벤처기업부,2019.04.18,2025.04.17
175,GT-19-00623,마그네트론 극초단파를 이용한 토너 카트리지의 롤러 복원 기술,T100302,사회복지법인 손과손,환경부,2019.04.18,2025.04.17
176,GT-19-00636,안정적인 조도 기능과 방열 기능을 제공하는 인쇄회로기판을 이용한 LED조명 제조기술,T020701,(주)부력에너지,환경부,2019.04.18,2025.04.17
