000660	19,481
000660	10,575
035420	2,915
035420	1,611
005380	61,924
005380	4,078
006400	7,236
006400	1,166
006400	1,604
006400	380
068270	222
068270	123
068270	282
068270	397
068270	726
068270	324
028260	4,045
028260	422
028260	537
028260	208
028260	562
028260	668
028260	936
028260	342
028260	6,080
028260	1,640
005490	16,561
005490	998
105560	131
105560	30
055550	131
055550	34
012330	7,428
012330	1,014
012330	1,838
012330	103
096770	901
096770	384
034730	3,322
034730	959
015760	18,119
015760	5,169
066570	9,699
066570	1,122
066570	3,174
066570	467
066570	2,988
066570	568
066570	2,889
066570	404
066570	11,733
066570	2,221
066570	30,483
066570	4,782
323410	521
323410	365
010950	1,372
010950	65
010950	97
010950	13
010950	417
010950	15
010950	1,020
010950	120
086790	83
086790	15
017670	4,169
017670	873
051900	562
051900	246
051900	886
051900	525
051900	630
051900	253
051900	20
051900	1,339
009150	2,576
009150	940
009150	898
009150	247
009150	1,770
009150	434
009150	3,598
009150	1,131
009150	8,842
009150	2,752
