000660	19,529	126,168,000
000660	10,606	95,385,000
035420	2,964	135,883,000
035420	1,714	117,418,000
005380	67,711	97,000,000
005380	4,271	78,000,000
006400	8,031	109,000,000
006400	1,269	89,000,000
006400	1,628	129,000,000
006400	387	109,000,000
068270	227	93,000,000
068270	145	73,000,000
068270	299	99,000,000
068270	402	85,000,000
068270	760	72,000,000
068270	374	63,000,000
028260	4,957	-
028260	496	-
028260	537	-
028260	208	-
028260	587	-
028260	731	-
028260	956	-
028260	347	-
028260	7,037	119,000,000
028260	1,782	90,000,000
005490	17,199	111,000,000
005490	1,048	78,000,000
105560	131	180,000,000
105560	30	126,000,000
055550	147	175,000,000
055550	36	104,000,000
012330	7,604	101,000,000
012330	1,122	71,000,000
012330	1,903	107,000,000
012330	206	65,000,000
096770	930	100,000,000
096770	423	79,000,000
034730	3,438	115,000,000
034730	1,010	81,000,000
015760	18,189	88,206,000
015760	5,225	70,817,000
066570	10,644	-
066570	1,294	-
066570	3,179	-
066570	470	-
066570	2,991	-
066570	570	-
066570	2,900	-
066570	406	-
066570	11,785	-
066570	2,260	-
066570	31,499	101,000,000
066570	5,000	77,000,000
323410	535	191,000,000
323410	487	94,000,000
010950	1,380	120,716,000
010950	70	78,573,000
010950	97	118,584,000
010950	14	74,372,000
010950	418	113,605,000
010950	18	60,207,000
010950	1,027	115,389,000
010950	130	78,505,000
086790	92	165,000,000
086790	21	102,000,000
017670	4,257	173,000,000
017670	1,082	120,000,000
051900	564	102,000,000
051900	246	82,000,000
051900	889	98,000,000
051900	525	77,000,000
051900	632	106,000,000
051900	253	82,000,000
051900	20	49,000,000
051900	1,340	51,000,000
009150	2,590	-
009150	941	-
009150	898	-
009150	247	-
009150	1,948	-
009150	476	-
009150	3,618	-
009150	1,148	-
009150	9,054	117,000,000
009150	2,812	88,000,000
