CO_NM,CODE,SIZE
SK디앤디,210980,12.314689554499324
NICE,034310,11.691921774647088
엠씨넥스,097520,11.805028543986598
디티알오토모티브,007340,12.19893354604746
세아베스틸,001430,12.417788660168167
세아베스틸,001430,12.438312647392346
미래에셋생명,085620,13.607260948211932
유안타증권,003470,13.166946663826112
SGC에너지,005090,12.207389115173427
SGC에너지,005090,11.754556432938807
JW중외제약,001060,11.746307475061421
흥아해운,003280,11.433823229908125
동아에스티,170900,12.070543604494233
고려제강,002240,12.159783602671618
송원산업,004430,12.02633139120191
풀무원,017810,11.837018542703818
빙그레,005180,11.874374852594427
코리아써키트,007810,11.816004539988725
HSD엔진,082740,11.90338816835845
HSD엔진,082740,12.348229118595851
LF,093050,12.27247865168582
국도화학,007690,12.129151924487992
한국자산신탁,123890,11.99388923397874
삼부토건,001470,11.688529764657934
신성이엔지,011930,11.595809263682225
한국토지신탁,034830,12.18572465931717
세아제강,306200,12.11394388324154
이수페타시스,007660,11.586417850200437
일양약품,007570,11.54402116837991
코스모화학,005420,11.57298589957443
이수화학,005950,11.97828572395978
넥스트사이언스,003580,11.097329249701522
넥스트사이언스,003580,10.995838406647474
넥스트사이언스,003580,11.37078248510585
LG헬로비전,037560,12.283613171029875
LG헬로비전,037560,12.274786101958403
LG헬로비전,037560,12.154019120131963
삼양사,145990,12.361668497424526
한진,002320,12.453562002988559
DI동일,001530,11.890489244519872
교보증권,030610,13.052976738604732
롯데정보통신,286940,11.836893307644427
애경케미칼,161000,11.657768069522088
애경케미칼,161000,12.061531099542492
현대에너지솔루션,322000,11.712698284704288
코오롱글로벌,003070,12.388279531036353
동일산업,004890,11.660936251579166
롯데하이마트,071840,12.481936959795513
HDC,012630,12.372044074002922
TYM,002900,11.773221184371907
락앤락,115390,11.834683269611485
코오롱플라스틱,138490,11.563307777454458
스카이라이프,053210,12.069676766493394
한일현대시멘트,006390,11.77584183269049
한일현대시멘트,006390,11.71475516913888
대한제강,084010,11.891529120576847
SK렌터카,068400,12.120987472130212
SK렌터카,068400,12.47120666795703
세아홀딩스,058650,12.0798498634673
LX하우시스,108670,12.348104807815352
LX하우시스,108670,12.324157912246685
서흥,008490,11.741599651678118
애경산업,018250,11.654801190393755
케이씨텍,281820,11.660933297188711
롯데푸드,002270,12.156072151314836
KEC,092220,11.655642339030013
퍼시스,016800,11.754460612622367
잇츠한불,226320,11.267766586626866
잇츠한불,226320,11.611304586161552
한전산업,130660,11.190204663643147
지역난방공사,071320,12.821851506096385
유나이티드제약,033270,11.599317252524553
에이프로젠 MED,007460,10.896259865914889
에이프로젠 MED,007460,11.687156795640846
에이프로젠 MED,007460,11.762332460493731
신대양제지,016590,11.62415464041327
SK증권,001510,12.726823919088138
아이마켓코리아,122900,11.926845540735897
삼진제약,005500,11.550632678800387
일진홀딩스,015860,11.451780592428708
대원제약,003220,11.623157670852923
한일홀딩스,003300,12.03943339899589
경방,000050,12.080130123360469
STX엔진,077970,11.911844558768914
광동제약,009290,11.84052258305214
한국콜마홀딩스,024720,11.745429834470265
하나제약,293480,11.525654667262636
한국쉘석유,002960,11.244313010157253
조선내화,000480,12.003178969808774
미원홀딩스,107590,11.441888221520138
도화엔지니어링,002150,11.665260351555379
현대차증권,001500,12.693982605453188
현대차증권,001500,12.961731966104715
현대차증권,001500,12.850615959649975
테이팩스,055490,11.085589776946666
한신기계,011700,10.995995565436827
디피씨,026890,11.055982804582314
디피씨,026890,11.368201572531401
환인제약,016580,11.549158962728036
한솔제지,213500,12.290699274876038
대한제당,001790,12.006339893259629
제일약품,271980,11.616234764436163
NPC,004250,11.63112213930609
금호건설,002990,12.2599405600197
금호건설,002990,12.123482369874386
코오롱,002020,12.107710862810434
종근당홀딩스,001630,11.640933218262987
한국철강,104700,11.964486172300665
대상홀딩스,084690,11.708926776044608
에어부산,298690,12.008831534131785
GS글로벌,001250,12.051285011095853
TCC스틸,002710,11.532150941102001
금호에이치티,214330,11.624315455488501
대동,000490,12.002595017431345
대동,000490,11.748626551309444
일진다이아,081000,11.463458766657789
알루코,001780,11.667838390265114
광주신세계,037710,11.93103262598554
모토닉,009680,11.654957176790425
동양,001520,11.980651089603926
동화약품,000020,11.630156187377462
SBS미디어홀딩스,101060,11.617900772171888
웅진씽크빅,095720,11.829671378065608
풍산홀딩스,005810,11.68571135792429
태영건설,009410,12.406228209409411
유진투자증권,001200,12.936538711405227
키다리스튜디오,020120,10.330827072056975
키다리스튜디오,020120,11.49729861007482
화승인더,006060,11.620297171280724
일진전기,103590,11.945912675703703
삼익THK,004380,11.582887006224661
디씨엠,024090,11.504508674726107
SNT홀딩스,036530,11.620316061658839
SNT홀딩스,036530,11.634399741353585
케이씨,029460,11.812736760479769
동부건설,005960,12.02613587463672
우진,105840,11.256454877589857
KPX홀딩스,092230,11.727457559994477
이월드,084680,11.631727037140957
무림P&P,009580,12.067890076434018
삼영무역,002810,11.60985040871432
금양,001570,11.34811731186338
유니퀘스트,077500,11.60382977370479
동아지질,028100,11.570203169470577
인스코비,006490,10.970805306682381
삼성출판사,068290,11.320208159669395
한독,002390,11.939041677112295
신세계 I&C,035510,11.551363660920062
SNT중공업,003570,11.915061489946229
SNT중공업,003570,11.928655308123032
에이프로젠제약,003060,11.698191584952692
대성산업,128820,11.954917804926112
대한제분,001130,11.94041260778779
KPX케미칼,025000,11.846849255434211
휴비스,079980,11.88914196193621
경인양행,012610,11.6500047054408
일동홀딩스,000230,11.428798378748207
사조동아원,008040,11.687639710805437
KSS해운,044450,12.164246951868721
KH 필룩스,033180,11.779796421889333
KH 필룩스,033180,11.588502712429083
HDC아이콘트롤스,039570,11.57775482734905
HDC아이콘트롤스,039570,11.352369584407263
HDC아이콘트롤스,039570,11.336733917314268
부국증권,001270,12.629348232150976
KISCO홀딩스,001940,11.75752510239257
서연이화,200880,12.067582047150882
서연이화,200880,11.793365197129255
신세계푸드,031440,11.937901593979287
경농,002100,11.549823929610888
태림포장,011280,11.743354920967423
삼성제약,001360,11.139283706779391
백산,035150,11.422862317065265
예스코홀딩스,015360,11.82415463508507
흥국화재,000540,13.144407088829947
LS네트웍스,000680,12.099510247753647
금강공업,014280,11.781585187776919
신송홀딩스,006880,11.108258920345357
세방,004360,11.902253965485926
고려산업,002140,11.366272488397382
JW생명과학,234080,11.355753680116324
해태제과식품,101530,11.791396738498081
백광산업,001340,11.567762423430578
한농화성,011500,11.367304247160213
동성제약,002210,11.037687947101208
샘표,007540,11.30765475002462
넥센,005720,11.876531799713963
무학,033920,11.796781417753142
현대비앤지스틸,004560,11.95265920473646
한국주철관,000970,11.503446774226394
팜스코,036580,11.977421112423151
삼화페인트,000390,11.742004047344157
디아이,003160,11.347910895756273
일성건설,013360,11.568421675183416
디와이,013570,11.336432230769276
이엔플러스,074610,10.933902323485958
이엔플러스,074610,10.244037165595145
이엔플러스,074610,11.027695535466208
대원강업,000430,11.818955830671154
수산중공업,017550,11.24233298366664
휴스틸,005010,11.953063500902148
그린케미칼,083420,11.341113414134858
대영포장,014160,11.386961897259368
효성ITX,094280,11.365126135323536
서연,007860,11.497124048459813
신라교역,004970,11.8293063143535
노루페인트,090350,11.79591086314338
디아이씨,092200,11.580668486173547
동아타이어,282690,11.619616989781072
신일전자,002700,11.009746056952945
신일전자,002700,11.058934077101346
영풍제지,006740,11.306411683052572
제주은행,006220,12.848538137152076
조선선재,120030,11.144812962964215
DB,012030,11.823479650827037
DB,012030,11.379541024640671
아시아나IDT,267850,11.32816617708988
대창단조,015230,11.32364704231928
쎌마테라퓨틱스,015540,10.429796446312597
삼양통상,002170,11.660534999722165
신흥,004080,11.11270393467887
한라,014790,12.167234452107856
세종공업,033530,11.813486835213945
유수홀딩스,000700,11.392550198049799
한신공영,004960,12.282782455635491
한국석유,004090,11.444665029197084
현대약품,004310,11.204055702451477
에이블씨엔씨,078520,11.251593652783859
노루홀딩스,000320,11.573699129873022
성창기업지주,000180,11.560913246205708
미창석유,003650,11.537314016038133
디와이파워,210540,11.36673663427228
강남제비스코,000860,11.643570886212432
광명전기,017040,11.171900988143136
SNT에너지,100840,11.521224644945173
SNT에너지,100840,11.522076115225447
한국내화,010040,11.49477274888412
광전자,017900,11.383736304267556
한양증권,001750,12.62414236992161
한미글로벌,053690,11.21913777525082
동방,004140,11.723143424610504
극동유화,014530,11.489819394123106
깨끗한나라,004540,11.783816004318693
삼익악기,002450,11.542542326472297
대창,012800,11.784606776845559
NI스틸,008260,11.553796370160027
경동도시가스,267290,11.967104501983382
한국공항,005430,11.579087756709919
남광토건,001260,11.491581853062726
세아특수강,019440,11.708702121453982
한국화장품,123690,10.512756035692773
이아이디,093230,11.651118388268902
대구백화점,006370,11.612311449325496
