CODE,CO_NM,div_cur,div_change,major_hldr,minor_hldr,outer_dir,dir_gender,total_emp,emp_gender
000660,SK하이닉스,0.11,-0.05800000000000001,,0.06,0.6666666666666666,0.1111111111111111,30135.0,0.35194956031192964
035420,NAVER,0.005,-0.054000000000000006,,0.06,0.6666666666666666,0.16666666666666666,4678.0,0.36639589568191533
005380,현대차,0.263,-0.28800000000000003,0.2938,0.05,0.5454545454545454,0.09090909090909091,71982.0,0.05933427801394793
006400,삼성SDI,0.057,-0.059,0.2059,0.05,0.5714285714285714,0.09375,11315.0,0.14635439681838266
068270,셀트리온,0.17679999999999998,,,0.06,0.5555555555555556,0.16666666666666666,2207.0,0.4173085636610784
028260,삼성물산,0.424,0.05799999999999997,,0.04,0.5555555555555556,0.1111111111111111,17638.0,0.20206372604603698
005490,POSCO,0.19399999999999998,-0.19300000000000003,,0.06,0.5833333333333334,0.08333333333333333,18247.0,0.05743409875595988
105560,KB금융,0.26,0.06,,0.07,0.7777777777777778,0.10810810810810811,161.0,0.18633540372670807
055550,신한지주,0.26039999999999996,0.025,0.08779999999999999,0.06,0.8571428571428571,0.06896551724137931,183.0,0.19672131147540983
012330,현대모비스,0.155,-0.087,,0.05,0.5555555555555556,0.010416666666666666,10835.0,0.12256575911398246
096770,SK이노베이션,0.6920000000000001,,0.33409999999999995,0.04,0.7142857142857143,0.07462686567164178,1353.0,0.31263858093126384
034730,SK,0.22719999999999999,-1.7278,,0.04,0.5555555555555556,0.09375,4448.0,0.227068345323741
015760,한국전력,,,,0.04,0.5333333333333333,0.1,23414.0,0.22315708550439908
066570,LG전자,0.149,0.03900000000000001,0.3367,0.05,0.8,0.029900332225913623,72998.0,0.1369900545220417
323410,카카오뱅크,,,,0.02,0.6666666666666666,0.05263157894736842,1022.0,0.4765166340508806
010950,S-Oil,0.321,,0.7217999999999999,,0.5454545454545454,0.04918032786885246,3154.0,0.0735573874445149
086790,하나금융지주,0.26,0.06,,0.08,0.8,0.07692307692307693,113.0,0.18584070796460178
017670,SK텔레콤,0.298,-0.177,,0.05,0.7142857142857143,0.14285714285714285,5339.0,0.20265967409627272
051900,LG생활건강,0.23800000000000002,0.006999999999999993,0.34509999999999996,0.05,0.5714285714285714,0.0,4469.0,0.5289773998657418
009150,삼성전기,0.17800000000000002,0.003000000000000007,0.24109999999999998,0.06,0.5714285714285714,0.14285714285714285,23732.0,0.23697960559582
000810,삼성화재,0.455,-0.041000000000000016,0.19440000000000002,0.04,0.6666666666666666,0.1111111111111111,5647.0,0.4404108376128918
010130,고려아연,0.46270000000000006,0.0718,,0.03,0.5454545454545454,0.025,1550.0,0.041935483870967745
316140,우리금융지주,0.2529,0.053999999999999986,,0.04,0.5714285714285714,0.0,149.0,0.11409395973154363
003670,포스코케미칼,0.17300000000000001,-0.44599999999999995,,,0.5,0.14285714285714285,2019.0,0.06438831104507181
011070,LG이노텍,0.08,0.01,,0.05,0.5714285714285714,0.023809523809523808,12415.0,0.20813532017720499
036570,엔씨소프트,0.3,0.0,0.12,,0.7142857142857143,0.14285714285714285,9240.0,0.33376623376623377
090430,아모레퍼시픽,0.349,-1.212,0.5977,0.04,0.5555555555555556,0.24324324324324326,5408.0,0.6433062130177515
009830,한화솔루션,,,,0.05,0.6,0.02112676056338028,6710.0,0.1602086438152012
024110,기업은행,0.25780000000000003,0.015,1.663,0.03,0.6666666666666666,0.13636363636363635,13901.0,0.5454283864470182
086280,현대글로비스,0.182,-0.035,,0.03,0.5555555555555556,0.046511627906976744,3262.0,0.16676885346413242
009540,한국조선해양,,,,0.04,0.6,0.0,649.0,0.2049306625577812
011170,롯데케미칼,0.1956,-0.583,,0.04,0.5454545454545454,0.04807692307692308,4644.0,0.15805340223944875
251270,넷마블,0.18,-0.021000000000000015,,0.02,0.6,0.14285714285714285,822.0,0.34306569343065696
032640,LG유플러스,0.3335,-0.08740000000000002,,0.05,0.6666666666666666,0.13432835820895522,10187.0,0.18670855011288898
035250,강원랜드,,,,0.04,0.6923076923076923,0.07692307692307693,3858.0,0.3356661482633489
018880,한온시스템,0.6227,-0.9247,,,0.5555555555555556,0.1111111111111111,2240.0,0.030357142857142857
010140,삼성중공업,,,,0.06,0.5714285714285714,0.023809523809523808,9279.0,0.0375040413837698
047810,한국항공우주,0.305,0.043999999999999984,,0.06,0.8,0.0,5012.0,0.06863527533918595
034220,LG디스플레이,0.1961,,0.3791,0.05,0.6666666666666666,0.02040816326530612,27702.0,0.15749765359901813
011790,SKC,0.174,-0.789,,0.05,0.5714285714285714,0.08695652173913043,753.0,0.11553784860557768
021240,코웨이,0.195,-0.02,,0.05,0.5714285714285714,0.0,6587.0,0.46288143312585395
000720,현대건설,0.166,-0.381,,,0.5714285714285714,0.04285714285714286,6324.0,0.10958254269449716
005830,DB손해보험,0.242,0.003000000000000007,,0.04,0.6,0.016666666666666666,4660.0,0.5721030042918455
004020,현대제철,0.09,,0.35969999999999996,0.05,0.5555555555555556,0.1111111111111111,11495.0,0.03444976076555024
011780,금호석유,0.14300000000000002,-0.05599999999999998,0.2528,0.05,0.7,0.0851063829787234,1401.0,0.15274803711634546
271560,오리온,0.115,0.0040000000000000036,0.8762000000000001,0.03,0.6,0.0,1407.0,0.28002842928216065
000060,메리츠화재,0.10099999999999999,-0.249,1.1262,0.03,0.6,0.08695652173913043,2811.0,0.6051227321237994
004990,롯데지주,0.348,0.7090000000000001,0.7630000000000001,0.02,0.625,0.02631578947368421,193.0,0.23834196891191708
