CO_NM,CODE,NOE
코오롱플라스틱,138490,11.52
스카이라이프,053210,7.21
한일현대시멘트,006390,12.69
대한제강,084010,23.53
SK렌터카,068400,5.04
세아홀딩스,058650,4.40
LX하우시스,108670,-6.72
서흥,008490,10.38
애경산업,018250,4.27
케이씨텍,281820,14.53
롯데푸드,002270,0
KEC,092220,5.64
퍼시스,016800, 
잇츠한불,226320,-3.17
한전산업,130660,12.94
지역난방공사,071320,-15.35
유나이티드제약,033270,12.83
에이프로젠 MED,007460,-3.24
신대양제지,016590,10.11
SK증권,001510,2.81
아이마켓코리아,122900,8.64
삼진제약,005500,9.41
일진홀딩스,015860,6.06
대원제약,003220,13.59
한일홀딩스,003300,4.74
경방,000050,2.56
STX엔진,077970,0.82
광동제약,009290,5.28
한국콜마홀딩스,024720,3.75
하나제약,293480,10.89
한국쉘석유,002960,29.96
조선내화,000480,4.79
미원홀딩스,107590,16.36
도화엔지니어링,002150,6.22
현대차증권,001500,9.62
테이팩스,055490,17.13
한신기계,011700,1.24
디피씨,026890,21.78
환인제약,016580,7.53
한솔제지,213500,6.74
대한제당,001790,2.21
제일약품,271980,-10.13
NPC,004250,9.48
금호건설,002990,18.31
코오롱,002020,13.69
종근당홀딩스,001630,0.43
한국철강,104700,11.96
대상홀딩스,084690,9.31
에어부산,298690,"-1,626.27"
GS글로벌,001250,13.50
TCC스틸,002710,21.84
금호에이치티,214330,-8.50
대동,000490,11.55
일진다이아,081000,2.14
알루코,001780,3.53
광주신세계,037710,7.71
모토닉,009680,4.09
동양,001520,0.36
동화약품,000020,5.05
SBS미디어홀딩스,101060,0
웅진씽크빅,095720,4.25
풍산홀딩스,005810,11.57
태영건설,009410,7.51
유진투자증권,001200,6.56
키다리스튜디오,020120,2.08
화승인더,006060,0.83
일진전기,103590,5.63
삼익THK,004380,7.65
디씨엠,024090,23.94
SNT홀딩스,036530,5.01
케이씨,029460,10.59
동부건설,005960,19.10
우진,105840,6.06
KPX홀딩스,092230,4.35
이월드,084680,-3.46
무림P&P,009580,3.78
삼영무역,002810,9.37
금양,001570,13.55
유니퀘스트,077500,24.40
동아지질,028100,-1.47
인스코비,006490,0.74
삼성출판사,068290,3.33
한독,002390,-0.73
