CO_NM,CODE,type
한솔로지스틱스,009180,5
이건산업,008250,7
두올,016740,5
한국수출포장,002200,7
천일고속,000650,5
삼성공조,006660,5
국보,001140,5
유니온머티리얼,047400,7
태평양물산,007980,6
대우부품,009320,5
DSR,155660,7
시디즈,134790,6
DRB동일,004840,0
인바이오젠,101140,5
오리엔트바이오,002630,2
삼영화학,003720,0
동일고무벨트,163560,0
사조오양,006090,6
유니온,000910,7
까뮤이앤씨,013700,8
화승코퍼레이션,013520,5
유니켐,011330,6
하이스틸,071090,7
KTcs,058850,3
화인베스틸,133820,7
부산산업,011390,7
인터지스,129260,5
전방,000950,6
한국종합기술,023350,3
KTis,058860,3
경동인베스트,012320,1
호전실업,111110,6
핸즈코퍼레이션,143210,5
에넥스,011090,6
세원정공,021820,5
조광페인트,004910,0
우리들휴브레인,118000,5
삼화왕관,004450,4
세하,027970,7
영흥,012160,7
제이준코스메틱,025620,0
한국프랜지,010100,5
우성,006980,6
평화산업,090080,5
에쓰씨엔지니어링,023960,8
유성기업,002920,5
페이퍼코리아,001020,7
문배철강,008420,7
부국철강,026940,7
한창,005110,5
DSR제강,069730,7
금비,008870,7
우진플라임,049800,4
에이엔피,015260,4
삼정펄프,009770,7
서원,021050,7
동일제강,002690,7
동양피스톤,092780,5
SG글로벌,001380,5
모나미,005360,5
한국전자홀딩스,006200,1
티웨이홀딩스,004870,7
SUN&L,002820,7
KR모터스,000040,5
대림통상,006570,4
인디에프,014990,6
화천기계,010660,4
티에이치엔,019180,4
이스타코,015020,3
케이비아이동국실업,001620,5
원림,005820,6
SJM,123700,5
태양금속,004100,5
진양폴리,010640,0
비비안,002070,6
WISCOM,024070,0
씨아이테크,004920,6
형지엘리트,093240,6
주연테크,044380,4
갤럭시아에스엠,011420,3
SJM홀딩스,025530,5
센트럴인사이트,012600,4
우진아이엔에스,010400,8
동양고속,084670,5
이화산업,000760,5
동원수산,030720,6
미래아이앤지,007120,3
동원금속,018500,5
한성기업,003680,6
경인전자,009140,4
태원물산,001420,5
SHD,001770,7
금호전기,001210,4
삼화전자,011230,4
한국주강,025890,4
한솔PNS,010420,5
코아스,071950,6
일정실업,008500,6
비케이탑스,030790,3
폴루스바이오팜,007630,3
SK머티리얼즈,036490,1
펄어비스,263750,3
에코프로비엠,247540,4
스튜디오드래곤,253450,3
천보,278280,0
CJ ENM,035760,3
리노공업,058470,4
위메이드,112040,3
씨젠,096530,2
에코프로,086520,4
JYP Ent.,035900,3
에스티팜,237690,2
동진쎄미켐,005290,4
LX세미콘,108320,4
에스엠,041510,3
원익IPS,240810,4
오스템임플란트,048260,2
티씨케이,064760,4
휴젤,145020,2
동화기업,025900,7
파라다이스,034230,6
레고켐바이오,141080,3
피엔티,137400,4
이오테크닉스,039030,4
고영,098460,4
하림지주,003380,1
메가스터디교육,215200,3
컴투스,078340,3
아프리카TV,067160,3
넥슨지티,041140,3
지씨셀,144510,3
NICE평가정보,030190,3
안랩,053800,3
동국제약,086450,2
현대바이오,048410,0
오스코텍,039200,2
SFA반도체,036540,4
와이지엔터테인먼트,122870,3
차바이오텍,085660,2
콜마비앤에이치,200130,2
제넥신,095700,3
삼천당제약,000250,2
아이티엠반도체,084850,4
파마리서치,214450,2
이녹스첨단소재,272290,4
웹젠,069080,3
서울반도체,046890,4
KG ETS,151860,3
엔케이맥스,182400,2
아난티,025980,6
RFHIC,218410,4
코리아센터,290510,3
서진시스템,178320,4
코웰패션,033290,5
NHN한국사이버결제,060250,3
파트론,091700,4
CJ프레시웨이,051500,5
메드팩토,235980,3
상상인,038540,3
상아프론테크,089980,0
아미코젠,092040,6
코미팜,041960,2
네패스,033640,4
신흥에스이씨,243840,0
에스앤에스텍,101490,4
코엔텍,029960,3
삼표시멘트,038500,7
사람인에이치알,143240,3
원익머트리얼즈,104830,4
셀리버리,268600,3
인선이엔티,060150,3
다우데이타,032190,5
티케이케미칼,104480,0
동국S&C,100130,7
엘비세미콘,061970,4
한국기업평가,034950,3
국일제지,078130,7
에이스테크,088800,4
유비쿼스홀딩스,078070,1
인트론바이오,048530,2
메디포스트,078160,2
원익홀딩스,030530,4
인터플렉스,051370,4
크리스탈지노믹스,083790,3
카페24,042000,3
톱텍,108230,4
노바렉스,194700,6
클리오,237880,0
AP시스템,265520,4
비츠로셀,082920,0
케이티알파,036030,5
한국캐피탈,023760,1
와이솔,122990,4
에스티큐브,052020,4
오이솔루션,138080,4
나스미디어,089600,3
위닉스,044340,4
갤럭시아머니트리,094480,3
멀티캠퍼스,067280,3
대아티아이,045390,4
슈피겐코리아,192440,6
알서포트,131370,3
엔지켐생명과학,183490,2
한국정보인증,053300,3
지니뮤직,043610,3
에이치엘사이언스,239610,6
현대바이오랜드,052260,0
농우바이오,054050,6
네오팜,092730,0
현대에버다임,041440,5
인크로스,216050,3
텔콘RF제약,200230,4
KCC건설,021320,8
유틸렉스,263050,2
영풍정밀,036560,6
SBS콘텐츠허브,046140,3
나노엔텍,039860,2
신화인터텍,056700,4
에스엠코어,007820,4
SGC이테크건설,016250,8
큐캐피탈,016600,1
메이슨캐피탈,021880,1
KCI,036670,0
나우IB,293580,1
오리콤,010470,3
코리아에셋투자증권,190650,1
리더스 기술투자,019570,1
