CODE,CO_NM,major_hldr,minor_hldr
007540,샘표,0.4844,0.03
005720,넥센,0.5991,0.02
033920,무학,0.6146,0.01
004560,현대비앤지스틸,0.4733,0.05
000970,한국주철관,0.4793,0.03
036580,팜스코,0.5657,0.02
000390,삼화페인트,0.2899,0.03
003160,디아이,0.4407,0.04
013360,일성건설,0.6389,0.03
013570,디와이,0.40509999999999996,0.04
074610,이엔플러스,0.08,0.07
000430,대원강업,0.3528,0.03
017550,수산중공업,0.43689999999999996,0.05
005010,휴스틸,0.49219999999999997,0.04
083420,그린케미칼,0.5981000000000001,0.03
014160,대영포장,0.5143,0.04
094280,효성ITX,0.7491,0.02
007860,서연,0.9168000000000001,0.04
004970,신라교역,0.6607999999999999,0.02
090350,노루페인트,0.5191,0.04
092200,디아이씨,0.3821,0.06
282690,동아타이어,0.6494,0.02
002700,신일전자,0.1114,0.07
006740,영풍제지,0.5264,0.02
006220,제주은행,0.7531,0.02
120030,조선선재,0.5184000000000001,0.03
012030,DB,0.43810000000000004,0.04
267850,아시아나IDT,0.7622,0.02
015230,대창단조,0.45439999999999997,0.03
015540,쎌마테라퓨틱스,0.2909,0.04
002170,삼양통상,0.5532,0.02
004080,신흥,0.7781,0.01
014790,한라,1.4631,0.04
033530,세종공업,0.4379,0.05
000700,유수홀딩스,0.5585,0.03
004960,한신공영,0.3676,0.04
004090,한국석유,0.4989,0.05
004310,현대약품,0.2359,0.06
078520,에이블씨엔씨,0.6167,0.03
000320,노루홀딩스,0.4471,0.06
000180,성창기업지주,0.30329999999999996,0.05
003650,미창석유,0.40240000000000004,0.01
210540,디와이파워,0.3846,0.05
000860,강남제비스코,0.5074000000000001,0.03
017040,광명전기,0.3106,0.06
100840,SNT에너지,0.5992999999999999,0.02
010040,한국내화,0.6254,0.02
017900,광전자,0.5548,0.02
001750,한양증권,0.8024000000000001,0.05
053690,한미글로벌,0.247,0.05
004140,동방,0.221,0.07
014530,극동유화,0.3845,0.04
004540,깨끗한나라,0.6245999999999999,0.03
002450,삼익악기,0.4143,0.04
012800,대창,0.387,0.05
008260,NI스틸,0.5896,0.03
267290,경동도시가스,1.0398,0.03
005430,한국공항,0.5954,0.02
001260,남광토건,0.6236999999999999,0.03
019440,세아특수강,0.6873,0.02
123690,한국화장품,0.5295000000000001,0.04
093230,이아이디,0.23620000000000002,0.07
006370,대구백화점,0.2917,0.02
006380,카프로,0.1275,0.07
012690,모나리자,0.5099,0.04
012200,계양전기,0.4807,0.04
067830,세이브존I&C,0.5281,0.02
014580,태경비케이,0.4717,0.04
011150,CJ씨푸드,0.46259999999999996,0.05
009440,KC그린홀딩스,0.47590000000000005,
016880,웅진,0.29510000000000003,0.05
009810,플레이그램,0.19,0.06
004060,SG세계물산,0.5061,0.04
023800,인지컨트롤스,0.4199,0.05
003560,IHQ,0.2528,0.05
002360,SH에너지화학,0.3106,0.06
020760,일진디스플,0.4496,0.05
000300,대유플러스,0.4429,0.05
006340,대원전선,0.2691,0.07
007110,일신석재,0.4132,0.05
004720,팜젠사이언스,0.08039999999999999,0.08
000500,가온전선,0.4656,0.04
025750,한솔홈데코,0.2346,0.07
005740,크라운해태홀딩스,0.5677,0.03
001290,상상인증권,0.625,0.03
003350,한국화장품제조,0.4671,0.03
013870,지엠비코리아,0.5895,0.04
005800,신영와코루,0.49,0.01
023000,삼원강재,0.6111,0.02
002600,조흥,0.6724,0.02
002760,보락,,
002220,한일철강,0.5074000000000001,0.03
005870,휴니드,0.22829999999999998,0.04
034300,신세계건설,0.42700000000000005,0.05
024890,대원화성,0.4686,0.01
027740,마니커,0.3,0.06
002720,국제약품,0.38189999999999996,0.05
025820,이구산업,0.5101,0.04
010600,웰바이오텍,0.08789999999999999,0.08
004830,덕성,0.19390000000000002,0.06
004440,삼일씨엔에스,0.5431,0.03
011810,STX,0.5540999999999999,0.03
009460,한창제지,0.39299999999999996,0.05
002880,대유에이텍,0.512,0.04
091090,세원이앤씨,0.24,0.07
004410,서울식품,0.15810000000000002,0.08
007590,동방아그로,0.34259999999999996,0.02
031820,콤텍시스템,0.2262,0.06
016090,대현,0.4728,0.04
227840,현대코퍼레이션홀딩스,0.27949999999999997,0.04
012170,아센디오,0.4028,0.03
009180,한솔로지스틱스,0.2152,0.07
008250,이건산업,0.3567,0.06
016740,두올,0.3625,0.04
002200,한국수출포장,0.4556,0.04
000650,천일고속,0.8573999999999999,0.01
006660,삼성공조,0.5153,0.04
001140,국보,0.0781,0.08
047400,유니온머티리얼,0.4407,0.04
007980,태평양물산,0.32780000000000004,0.05
009320,대우부품,0.342,0.06
155660,DSR,0.6833,0.02
134790,시디즈,0.6072,0.02
004840,DRB동일,0.6975,0.02
101140,인바이오젠,0.3883,0.05
002630,오리엔트바이오,0.35609999999999997,0.06
003720,삼영화학,0.22649999999999998,0.07
163560,동일고무벨트,0.6978,0.02
006090,사조오양,0.0,0.03
000910,유니온,0.3882,0.05
013700,까뮤이앤씨,0.35950000000000004,0.05
013520,화승코퍼레이션,0.44689999999999996,0.04
011330,유니켐,0.1759,0.06
071090,하이스틸,0.5304,0.04
058850,KTcs,0.30329999999999996,0.06
133820,화인베스틸,0.5049,0.04
011390,부산산업,0.5175,0.04
129260,인터지스,0.5718,0.03
000950,전방,0.2045,0.03
023350,한국종합기술,0.5363,0.03
058860,KTis,0.2932,0.06
012320,경동인베스트,1.0857999999999999,0.02
111110,호전실업,0.4056,0.04
143210,핸즈코퍼레이션,0.5919,0.02
011090,에넥스,0.2775,0.06
021820,세원정공,0.4664,0.02
004910,조광페인트,0.37770000000000004,0.03
118000,우리들휴브레인,0.062,0.09
004450,삼화왕관,0.5134000000000001,0.01
027970,세하,0.5073,0.04
012160,영흥,0.2798,0.04
025620,제이준코스메틱,0.1761,0.08
010100,한국프랜지,0.42090000000000005,0.05
006980,우성,0.649,0.05
090080,평화산업,0.6279,0.03
023960,에쓰씨엔지니어링,0.129,0.07
002920,유성기업,0.0,0.04
001020,페이퍼코리아,0.6198,0.03
008420,문배철강,0.3693,0.05
026940,부국철강,1.0688,0.04
005110,한창,0.0748,0.09
069730,DSR제강,0.5718,0.03
008870,금비,0.5648,
049800,우진플라임,0.408,0.04
015260,에이엔피,0.1491,0.07
009770,삼정펄프,0.7412000000000001,0.02
021050,서원,0.38689999999999997,0.05
002690,동일제강,0.5794,0.03
092780,동양피스톤,0.5579,0.03
001380,SG글로벌,0.5853,0.03
005360,모나미,0.2823,0.07
006200,한국전자홀딩스,0.3918,0.05
004870,티웨이홀딩스,0.4782,0.04
002820,SUN&L,0.46399999999999997,0.04
000040,KR모터스,0.5286,0.04
006570,대림통상,0.7170000000000001,0.01
014990,인디에프,0.6496,0.03
010660,화천기계,0.3454,0.05
019180,티에이치엔,0.428,0.05
015020,이스타코,0.26940000000000003,0.06
001620,케이비아이동국실업,0.46590000000000004,0.05
005820,원림,0.6045,0.02
123700,SJM,0.5303,0.03
004100,태양금속,0.4425,0.04
010640,진양폴리,0.505,0.03
002070,비비안,0.17309999999999998,0.08
024070,WISCOM,0.0,0.04
004920,씨아이테크,0.2309,0.05
093240,형지엘리트,0.3258,0.06
044380,주연테크,0.2728,0.07
011420,갤럭시아에스엠,0.3666,0.04
025530,SJM홀딩스,0.639,0.01
012600,센트럴인사이트,0.159,0.06
010400,우진아이엔에스,0.5321,0.02
084670,동양고속,0.4752,0.03
000760,이화산업,0.728,0.01
030720,동원수산,0.21050000000000002,0.07
007120,미래아이앤지,0.1334,0.07
018500,동원금속,0.2249,0.06
003680,한성기업,0.3914,0.04
009140,경인전자,0.4901,0.02
001420,태원물산,0.3978,0.04
001770,SHD,0.5186,0.03
001210,금호전기,0.3297,0.05
011230,삼화전자,0.3568,0.05
025890,한국주강,0.5698,0.03
010420,한솔PNS,0.4607,0.04
071950,코아스,0.273,0.06
008500,일정실업,0.6661,0.02
030790,비케이탑스,0.5658,0.06
007630,폴루스바이오팜,,
036490,SK머티리얼즈,,
263750,펄어비스,0.5024000000000001,0.03
247540,에코프로비엠,1.0412000000000001,0.04
253450,스튜디오드래곤,0.5495,0.03
278280,천보,0.5543,0.04
035760,CJ ENM,0.4817,0.04
058470,리노공업,0.34659999999999996,0.05
112040,위메이드,0.44939999999999997,0.05
096530,씨젠,0.30870000000000003,0.07
086520,에코프로,0.2767,0.06
035900,JYP Ent.,0.157,0.06
237690,에스티팜,0.4775,0.02
005290,동진쎄미켐,0.3862,0.05
108320,LX세미콘,0.3311,
041510,에스엠,0.1888,0.06
240810,원익IPS,0.33049999999999996,0.05
048260,오스템임플란트,0.2167,0.06
064760,티씨케이,0.444,0.03
145020,휴젤,0.4324,0.04
025900,동화기업,0.6917,0.02
034230,파라다이스,0.46380000000000005,0.04
141080,레고켐바이오,0.1072,0.06
137400,피엔티,0.1685,0.07
039030,이오테크닉스,0.31079999999999997,0.06
098460,고영,0.205,0.03
003380,하림지주,,
215200,메가스터디교육,0.2987,0.04
078340,컴투스,0.295,0.05
067160,아프리카TV,0.2579,0.04
041140,넥슨지티,,
144510,지씨셀,0.4266,0.04
030190,NICE평가정보,0.4299,0.03
053800,안랩,0.2859,0.04
086450,동국제약,0.46480000000000005,0.04
048410,현대바이오,0.1318,0.08
039200,오스코텍,0.163,0.06
036540,SFA반도체,0.5501,0.04
122870,와이지엔터테인먼트,0.2078,0.06
085660,차바이오텍,0.3098,0.06
200130,콜마비앤에이치,0.5355,0.03
095700,제넥신,0.15109999999999998,0.07
000250,삼천당제약,0.386,0.05
084850,아이티엠반도체,0.6914,0.03
214450,파마리서치,0.3982,0.04
272290,이녹스첨단소재,0.31739999999999996,0.05
069080,웹젠,0.27190000000000003,0.04
046890,서울반도체,0.2853,0.06
151860,KG ETS,0.46590000000000004,0.04
182400,엔케이맥스,0.1801,0.08
025980,아난티,0.3211,0.06
218410,RFHIC,0.3408,0.06
290510,코리아센터,0.5932999999999999,0.02
178320,서진시스템,0.3164,0.06
033290,코웰패션,0.7086,0.02
060250,NHN한국사이버결제,0.848,0.03
091700,파트론,0.326,0.06
051500,CJ프레시웨이,0.5868,0.03
235980,메드팩토,0.33140000000000003,0.06
038540,상상인,0.3193,0.03
089980,상아프론테크,0.4224,0.05
092040,아미코젠,0.1597,0.07
041960,코미팜,0.4011,0.05
033640,네패스,0.2571,0.07
243840,신흥에스이씨,0.2284,0.03
101490,에스앤에스텍,0.2168,0.06
029960,코엔텍,0.5929,0.03
038500,삼표시멘트,0.647,0.02
143240,사람인에이치알,0.478,0.02
104830,원익머트리얼즈,0.4569,0.03
268600,셀리버리,0.1984,0.06
060150,인선이엔티,0.4498,0.05
032190,다우데이타,0.6705,0.02
104480,티케이케미칼,0.4788,0.04
100130,동국S&C,0.4999,0.04
061970,엘비세미콘,0.3685,0.05
034950,한국기업평가,0.7354999999999999,0.02
078130,국일제지,0.32130000000000003,0.06
088800,에이스테크,0.20600000000000002,0.07
078070,유비쿼스홀딩스,0.49560000000000004,0.03
048530,인트론바이오,0.1588,0.07
078160,메디포스트,0.0695,0.08
030530,원익홀딩스,0.4777,0.03
051370,인터플렉스,0.4772,0.05
083790,크리스탈지노믹스,0.0953,0.08
042000,카페24,0.25129999999999997,0.04
108230,톱텍,0.4179,0.05
194700,노바렉스,0.373,0.03
237880,클리오,0.6612,0.02
265520,AP시스템,0.2506,0.07
082920,비츠로셀,0.3908,0.03
036030,케이티알파,0.7311,0.02
023760,한국캐피탈,1.61,0.01
122990,와이솔,0.33909999999999996,0.06
052020,에스티큐브,0.0558,0.09
138080,오이솔루션,0.5821999999999999,0.06
089600,나스미디어,1.1968,0.03
044340,위닉스,0.5945,0.04
094480,갤럭시아머니트리,0.5898,0.03
067280,멀티캠퍼스,0.6244,0.02
045390,대아티아이,0.1698,0.08
192440,슈피겐코리아,0.40979999999999994,0.04
131370,알서포트,0.4138,0.04
183490,엔지켐생명과학,0.18739999999999998,0.07
053300,한국정보인증,0.4572,0.03
043610,지니뮤직,0.36200000000000004,0.03
239610,에이치엘사이언스,0.6327,0.03
052260,현대바이오랜드,0.35,0.06
054050,농우바이오,0.5791,0.04
092730,네오팜,0.3895,0.05
041440,현대에버다임,0.4668,0.04
216050,인크로스,0.39399999999999996,0.03
200230,텔콘RF제약,0.1968,0.08
021320,KCC건설,0.6628000000000001,0.02
263050,유틸렉스,0.3235,0.05
036560,영풍정밀,0.5122,0.04
046140,SBS콘텐츠허브,0.6496,0.02
039860,나노엔텍,0.295,0.06
056700,신화인터텍,0.2051,0.06
007820,에스엠코어,0.2697,0.07
016250,SGC이테크건설,0.42210000000000003,0.04
016600,큐캐피탈,0.3935,0.05
021880,메이슨캐피탈,0.3886,0.05
036670,KCI,0.5002,0.04
293580,나우IB,0.7190000000000001,0.02
010470,오리콤,0.6478,0.03
190650,코리아에셋투자증권,0.5107,0.02
019570,리더스 기술투자,0.2858,0.05
